Date,Open,High,Low,Close,Volume
2024-12-14 22:00:00+00:00,101136,103504,100945,102907,0.1838000000000007
2024-12-13 22:00:00+00:00,101404,102715,100665,101131,0.2323999999999999
2024-12-12 22:00:00+00:00,99831,101961,99282,101409,0.4676000000000042
2024-12-11 22:00:00+00:00,101658,102605,99344,99830,0.5178999999999986
2024-12-10 22:00:00+00:00,96955,101830,95778,101654,0.5237000000000012
2024-12-09 22:00:00+00:00,96988,98324,94334,96938,0.6901999999999964
2024-12-08 22:00:00+00:00,100155,101484,94305,96980,0.6550999999999941
2024-12-07 22:00:00+00:00,100018,100566,98773,100148,0.7283999999999923
2024-12-06 22:00:00+00:00,100621,100935,99078,99998,0.7071999999999998
2024-12-05 22:00:00+00:00,99051,102113,92059,100616,1.6475999999999849
2024-12-04 22:00:00+00:00,97918,103673,97766,99032,1.7865000000000069
2024-12-03 22:00:00+00:00,96115,99270,94682,97899,1.2635999999999916
2024-12-02 22:00:00+00:00,95449,96326,93613,96107,1.078199999999993
2024-12-01 22:00:00+00:00,97895,98219,94432,95431,2.166900000000014
2024-11-30 22:00:00+00:00,96889,97911,95786,97895,1.3367999999999964
2024-11-29 22:00:00+00:00,97531,97627,96150,96856,0.8101999999999999
2024-11-28 22:00:00+00:00,95174,98775,95071,97529,2.1915
2024-11-27 22:00:00+00:00,96456,96688,94696,95175,1.6895000000000002
2024-11-26 22:00:00+00:00,91683,97375,91537,96434,1.7962999999999998
2024-11-25 22:00:00+00:00,93753,95021,90743,91677,2.6037000000000003
2024-11-24 22:00:00+00:00,97116,98988,93585,93753,2.1268
2024-11-23 22:00:00+00:00,98095,98709,95819,97114,1.4221999999999997
2024-11-22 22:00:00+00:00,99551,99670,97252,98099,0.6950000000000001
2024-11-21 22:00:00+00:00,98124,99800,97260,99550,2.008
2024-11-20 22:00:00+00:00,94508,99089,93899,98114,2.1183
2024-11-19 22:00:00+00:00,92350,94970,91506,94493,1.5736
2024-11-18 22:00:00+00:00,91348,94080,90335,92346,1.7997999999999998
2024-11-17 22:00:00+00:00,89204,92656,88788,91418,1.9968
2024-11-16 22:00:00+00:00,91120,91534,89075,89204,1.2847000000000002
2024-11-15 22:00:00+00:00,91790,91972,90128,91077,1.015
2024-11-14 22:00:00+00:00,88260,91914,86719,91791,1.9288000000000003
2024-11-13 22:00:00+00:00,88678,91831,87038,88257,2.1066
2024-11-12 22:00:00+00:00,88325,93505,86359,88665,1.6333
2024-11-11 22:00:00+00:00,88010,90018,85123,88292,1.7507
2024-11-10 22:00:00+00:00,79992,88483,79893,87978,1.2283
2024-11-09 22:00:00+00:00,76546,81104,76405,79992,2.5451
2024-11-08 22:00:00+00:00,76599,76910,75761,76492,0.6568
2024-11-07 22:00:00+00:00,75992,77295,75578,76601,0.9641
2024-11-06 22:00:00+00:00,75945,76991,74462,75939,1.7512
2024-11-05 22:00:00+00:00,69201,76522,68929,75945,2.0254
2024-11-04 22:00:00+00:00,67111,70569,67050,69201,0.7244
2024-11-03 22:00:00+00:00,69176,69523,66832,67110,0.6387
2024-11-02 21:00:00+00:00,69562,69588,67502,69176,0.778
2024-11-01 21:00:00+00:00,69265,69955,68878,69561,0.3074999999999999
2024-10-31 21:00:00+00:00,69964,71620,68801,69235,0.8658000000000001
2024-10-30 21:00:00+00:00,72834,72919,69620,69965,0.631
2024-10-29 21:00:00+00:00,72342,72995,71433,72834,0.6592000000000001
2024-10-28 21:00:00+00:00,69601,73604,69529,72343,0.7649999999999999
2024-10-27 21:00:00+00:00,67746,69910,67567,69601,0.5827
2024-10-26 21:00:00+00:00,67239,67995,66905,67768,0.8514
2024-10-25 21:00:00+00:00,66848,67424,65565,67238,0.2311
2024-10-24 21:00:00+00:00,68188,68846,65887,66898,0.582
2024-10-23 21:00:00+00:00,66634,68332,66329,68186,0.5347
2024-10-22 21:00:00+00:00,67525,67838,65196,66634,0.5424
2024-10-21 21:00:00+00:00,67761,67937,66588,67525,0.5479
2024-10-20 21:00:00+00:00,68824,69526,66843,67761,0.602
2024-10-19 21:00:00+00:00,68295,68933,68134,68801,0.2929
2024-10-18 21:00:00+00:00,68484,68749,68044,68273,0.2561
2024-10-17 21:00:00+00:00,66962,69031,66955,68439,0.5985
2024-10-16 21:00:00+00:00,67656,67962,66682,66962,0.5650999999999999
2024-10-15 21:00:00+00:00,66513,68427,66164,67659,0.6963000000000001
2024-10-14 21:00:00+00:00,65941,67950,64832,66513,0.8030000000000002
2024-10-13 21:00:00+00:00,62810,66311,62473,65941,0.6880000000000002
2024-10-12 21:00:00+00:00,63090,63402,62079,62792,0.4697
