Date,Open,High,Low,Close,Volume
2024-12-14 22:00:00+00:00,101006,103389,100816,102777,0.1726000000000009
2024-12-13 22:00:00+00:00,101282,102585,100536,101001,0.2323999999999999
2024-12-12 22:00:00+00:00,99756,101885,99206,101280,0.3776000000000035
2024-12-11 22:00:00+00:00,101582,102529,99268,99754,0.413200000000005
2024-12-10 22:00:00+00:00,96880,101755,95703,101578,0.4193000000000048
2024-12-09 22:00:00+00:00,96913,98248,94258,96862,0.5552999999999966
2024-12-08 22:00:00+00:00,100025,101379,94229,96905,0.3841000000000037
2024-12-07 22:00:00+00:00,99897,100521,98728,100026,0.2136999999999999
2024-12-06 22:00:00+00:00,100496,100813,98950,99953,0.3055999999999949
2024-12-05 22:00:00+00:00,98976,102068,91984,100486,0.565999999999995
2024-12-04 22:00:00+00:00,97843,103627,97690,98987,0.5828999999999964
2024-12-03 22:00:00+00:00,96039,99224,94637,97854,0.4644
2024-12-02 22:00:00+00:00,95374,96281,93568,96062,0.4509000000000016
2024-12-01 22:00:00+00:00,97766,98174,94386,95386,0.8307000000000005
2024-11-30 22:00:00+00:00,96758,97781,95736,97765,0.6529999999999938
2024-11-29 22:00:00+00:00,97401,97497,96100,96806,0.452
2024-11-28 22:00:00+00:00,95098,98714,94996,97401,0.6667
2024-11-27 22:00:00+00:00,96381,96642,94651,95114,0.4439999999999999
2024-11-26 22:00:00+00:00,91608,97335,91462,96389,0.6307
2024-11-25 22:00:00+00:00,93677,94976,90698,91608,0.8292
2024-11-24 22:00:00+00:00,96989,98943,93540,93707,0.8490999999999999
2024-11-23 22:00:00+00:00,98049,98644,95773,96987,0.5767
2024-11-22 22:00:00+00:00,99430,99572,97207,98054,0.358
2024-11-21 22:00:00+00:00,98048,99751,97214,99430,0.9277000000000002
2024-11-20 22:00:00+00:00,94432,99037,93836,98052,1.1212
2024-11-19 22:00:00+00:00,92274,94929,91430,94432,0.7571000000000001
2024-11-18 22:00:00+00:00,91272,94018,90273,92283,0.8584999999999999
2024-11-17 22:00:00+00:00,89074,92609,88658,91355,0.9356
2024-11-16 22:00:00+00:00,90994,91423,88947,89076,0.4986
2024-11-15 22:00:00+00:00,91668,91845,90065,91014,0.4688999999999999
2024-11-14 22:00:00+00:00,88185,91852,86659,91671,0.9716
2024-11-13 22:00:00+00:00,88602,91771,86982,88195,1.1369
2024-11-12 22:00:00+00:00,88275,93438,86279,88603,0.8411000000000001
2024-11-11 22:00:00+00:00,87960,89942,85072,88242,0.8309
2024-11-10 22:00:00+00:00,79863,88411,79773,87912,0.586
2024-11-09 22:00:00+00:00,76417,81046,76339,79862,0.8492000000000003
2024-11-08 22:00:00+00:00,76471,76780,75696,76426,0.2732
2024-11-07 22:00:00+00:00,75916,77220,75502,76471,0.4282999999999999
2024-11-06 22:00:00+00:00,75942,76915,74424,75916,0.7319
2024-11-05 22:00:00+00:00,69126,76447,68853,75937,0.9419
2024-11-04 22:00:00+00:00,67077,70517,66975,69129,0.5687000000000001
2024-11-03 22:00:00+00:00,69055,69458,66794,67077,0.6172
2024-11-02 21:00:00+00:00,69496,69522,67436,69046,0.5077
2024-11-01 21:00:00+00:00,69139,69827,68751,69496,0.2159
2024-10-31 21:00:00+00:00,69921,71558,68777,69159,0.556
2024-10-30 21:00:00+00:00,72806,72900,69569,69921,0.3857
2024-10-29 21:00:00+00:00,72277,72919,71371,72806,0.3275
2024-10-28 21:00:00+00:00,69591,73572,69480,72277,0.3656999999999999
2024-10-27 21:00:00+00:00,67615,69835,67501,69587,0.2955
2024-10-26 21:00:00+00:00,67108,67930,66855,67702,0.245
2024-10-25 21:00:00+00:00,66729,67300,65437,67108,0.1729
2024-10-24 21:00:00+00:00,68112,68802,65811,66833,0.3457
2024-10-23 21:00:00+00:00,66558,68300,66253,68145,0.3351
2024-10-22 21:00:00+00:00,67486,67762,65120,66608,0.3302
2024-10-21 21:00:00+00:00,67686,67888,66537,67486,0.2785999999999999
2024-10-20 21:00:00+00:00,68698,69487,66812,67706,0.244
2024-10-19 21:00:00+00:00,68170,68867,68066,68735,0.0634999999999999
2024-10-18 21:00:00+00:00,68360,68624,67978,68208,0.1118999999999999
2024-10-17 21:00:00+00:00,66886,68965,66879,68373,0.2939999999999999
2024-10-16 21:00:00+00:00,67595,67904,66637,66903,0.2879999999999999
2024-10-15 21:00:00+00:00,66438,68380,66102,67595,0.3113
2024-10-14 21:00:00+00:00,65865,67917,64769,66451,0.3929999999999999
2024-10-13 21:00:00+00:00,62684,66257,62421,65889,0.3765
2024-10-12 21:00:00+00:00,62961,63337,62014,62726,0.1191
2024-10-11 21:00:00+00:00,62928,63411,62269,62964,0.1616
2024-10-10 21:00:00+00:00,59745,63383,59638,62984,0.2648
2024-10-09 21:00:00+00:00,60360,61272,58903,59745,0.3526000000000001
2024-10-08 21:00:00+00:00,62305,62523,60272,60376,0.4134
2024-10-07 21:00:00+00:00,62986,63340,61820,62348,0.5537
2024-10-06 21:00:00+00:00,62553,64430,62235,62986,0.4734999999999999
2024-10-05 21:00:00+00:00,61656,62937,61651,62588,0.1984999999999999
2024-10-04 21:00:00+00:00,62343,62401,61621,61692,0.1454
2024-10-03 21:00:00+00:00,60741,62447,60429,62428,0.4529999999999999
2024-10-02 21:00:00+00:00,60865,61440,59827,60744,0.5373
2024-10-01 21:00:00+00:00,60765,62327,59966,60881,0.5482
2024-09-30 21:00:00+00:00,63769,64088,60154,60765,0.4897
2024-09-29 21:00:00+00:00,65764,65922,63022,63769,0.3616
2024-09-28 21:00:00+00:00,65590,66041,65393,65782,0.2834
2024-09-27 21:00:00+00:00,65748,66204,65394,65616,0.2187
2024-09-26 21:00:00+00:00,64639,66435,64613,65779,0.4697
2024-09-25 21:00:00+00:00,63471,65794,62637,64639,0.4067
2024-09-24 21:00:00+00:00,64194,64780,62967,63471,0.2589
2024-09-23 21:00:00+00:00,63277,64556,62696,64194,0.2815
2024-09-22 21:00:00+00:00,63153,64706,62354,63277,0.4334
2024-09-21 21:00:00+00:00,63089,63527,62438,63178,0.2865000000000001
2024-09-20 21:00:00+00:00,62755,63366,62691,63110,0.2347
2024-09-19 21:00:00+00:00,63003,64100,62326,62800,0.4174
2024-09-18 21:00:00+00:00,60190,63839,60151,63003,0.5239999999999999
2024-09-17 21:00:00+00:00,60098,61292,59148,60196,0.4719
2024-09-16 21:00:00+00:00,57646,61295,57572,60098,0.4261
2024-09-15 21:00:00+00:00,59739,59745,57476,57646,0.4038
2024-09-14 21:00:00+00:00,59962,60351,59666,59764,0.2675
2024-09-13 21:00:00+00:00,59803,60605,59384,59962,0.1672999999999999
2024-09-12 21:00:00+00:00,58167,59983,57602,59883,0.4567999999999999
2024-09-11 21:00:00+00:00,57454,58518,57196,58167,0.4023
2024-09-10 21:00:00+00:00,57533,57955,55527,57454,0.4361
2024-09-09 21:00:00+00:00,56986,58019,56375,57536,0.3660999999999999
2024-09-08 21:00:00+00:00,54311,57152,54257,56986,0.3888
2024-09-07 21:00:00+00:00,54133,54687,53596,54344,0.3154
2024-09-06 21:00:00+00:00,52814,54815,52467,54135,0.3095
2024-09-05 21:00:00+00:00,56056,56963,52602,52810,0.5496
2024-09-04 21:00:00+00:00,58012,58336,55762,56056,0.6244
2024-09-03 21:00:00+00:00,58181,58484,55607,58012,0.5851
2024-09-02 21:00:00+00:00,58968,59774,57530,58182,0.4408999999999999
2024-09-01 21:00:00+00:00,58357,59198,57094,58963,0.4722999999999999
2024-08-31 21:00:00+00:00,58888,59087,57200,58391,0.2749
2024-08-30 21:00:00+00:00,58982,59382,58676,58888,0.1475999999999999
2024-08-29 21:00:00+00:00,59493,59883,57721,58985,0.4709
2024-08-28 21:00:00+00:00,59292,61134,58826,59493,0.6216
2024-08-27 21:00:00+00:00,61821,61912,57832,59292,0.6158
2024-08-26 21:00:00+00:00,63376,63405,61442,61822,0.3557
2024-08-25 21:00:00+00:00,64182,64988,63033,63404,0.4395000000000001
2024-08-24 21:00:00+00:00,64085,64528,63513,64178,0.1984
2024-08-23 21:00:00+00:00,63618,64922,63593,64085,0.2976
2024-08-22 21:00:00+00:00,60653,63817,60279,63628,0.5519999999999999
2024-08-21 21:00:00+00:00,61205,61483,59748,60653,0.6696999999999999
2024-08-20 21:00:00+00:00,59284,61800,58766,61204,0.6888000000000002
2024-08-19 21:00:00+00:00,59072,61386,58560,59284,0.6846999999999999
2024-08-18 21:00:00+00:00,59753,59753,57796,59061,0.6332
2024-08-17 21:00:00+00:00,59330,60236,59131,59785,0.2869
2024-08-16 21:00:00+00:00,59210,59666,58676,59366,0.204
2024-08-15 21:00:00+00:00,56637,59804,56601,59231,0.7722
2024-08-14 21:00:00+00:00,59123,59828,56109,56633,0.8992
2024-08-13 21:00:00+00:00,60550,61727,58685,59120,1.7668999999999997
2024-08-12 21:00:00+00:00,58820,61568,58401,60545,1.915
2024-08-11 21:00:00+00:00,58449,60671,57639,58817,1.1962000000000002
2024-08-10 21:00:00+00:00,60938,61793,58291,58482,0.5686
2024-08-09 21:00:00+00:00,60712,61435,59893,60939,0.2161
2024-08-08 21:00:00+00:00,59489,62666,59488,60692,0.9923
2024-08-07 21:00:00+00:00,55112,59842,54526,59490,0.9699
2024-08-06 21:00:00+00:00,56528,57696,54623,55112,1.4691999999999998
2024-08-05 21:00:00+00:00,54363,57025,53874,56528,1.7143999999999997
2024-08-04 21:00:00+00:00,59062,59076,49050,54363,1.6387999999999998
2024-08-03 21:00:00+00:00,60335,61055,57145,59108,0.7245999999999999
2024-08-02 21:00:00+00:00,62500,62607,59883,60335,0.5818000000000001
2024-08-01 21:00:00+00:00,64645,65552,62034,62608,0.5247
2024-07-31 21:00:00+00:00,64528,65092,62216,64678,0.4817999999999999
2024-07-30 21:00:00+00:00,66147,66787,64503,64539,0.3455
