Date,Open,High,Low,Close,Volume
2024-11-30 22:00:00+00:00,96758,108301,91984,97291,8.030300000002105
2024-10-31 21:00:00+00:00,69921,99751,66794,96806,20.4305
2024-09-30 21:00:00+00:00,63769,73572,58903,69921,9.874900000000002
2024-08-31 21:00:00+00:00,58888,66435,52467,63769,11.535299999999982
2024-07-31 21:00:00+00:00,64528,65552,49050,58888,23.298099999999987
2024-06-30 21:00:00+00:00,61892,69995,53509,64539,21.42720000000001
2024-05-31 21:00:00+00:00,67564,71913,58444,61892,22.11770000000001
2024-04-30 21:00:00+00:00,59829,71923,56512,67647,23.81400000000004
2024-03-31 21:00:00+00:00,70801,72727,59073,59912,32.12710000000001
2024-02-29 22:00:00+00:00,61391,73758,59112,70801,106.19000000000018
2024-01-31 22:00:00+00:00,42423,63994,41842,61391,71.03349999999999
2023-12-31 22:00:00+00:00,43712,48946,38480,42423,37.6328
2023-11-30 22:00:00+00:00,37712,44676,37585,42448,9.613900000000005
2023-10-31 21:00:00+00:00,34605,38407,34065,37712,13.252100000000018
2023-09-30 21:00:00+00:00,27006,35180,26499,34602,18.09990000000002
2023-08-31 21:00:00+00:00,25972,27450,24889,27029,23.3601
2023-07-31 21:00:00+00:00,29176,30178,25339,25982,11.78889999999997
2023-06-30 21:00:00+00:00,30366,31794,28841,29176,18.719299999999933
2023-05-31 21:00:00+00:00,27087,31390,24767,30366,32.79889999999996
2023-04-30 21:00:00+00:00,29289,29785,25794,27087,17.886200000000017
2023-03-31 21:00:00+00:00,28333,30995,26950,29312,28.66159999999998
2023-02-28 22:00:00+00:00,23111,29139,19541,28348,32.00069999999998
2023-01-31 22:00:00+00:00,22912,25214,21342,23111,19.148000000000003
2022-12-31 22:00:00+00:00,16474,23920,16461,22913,20.1542
2022-11-30 22:00:00+00:00,17067,18340,16240,16530,17.740900000000007
2022-10-31 21:00:00+00:00,20370,21414,15440,17067,26.92259999999997
2022-09-30 21:00:00+00:00,19387,21034,18153,20370,18.521499999999996
