Local time,Open,High,Low,Close,Volume
31.07.2017 16:00:00.000 GMT-0500,2889,2928,2646,2745,3555.170800000001
01.08.2017 16:00:00.000 GMT-0500,2740,2760,2668,2691,2529.0552999999995
02.08.2017 16:00:00.000 GMT-0500,2691,2806,2650,2783,2238.0139000000004
03.08.2017 16:00:00.000 GMT-0500,2783,2878,2765,2832,2043.6052
04.08.2017 16:00:00.000 GMT-0500,2832,2832,2832,2832,0
05.08.2017 16:00:00.000 GMT-0500,2832,2832,2832,2832,0
06.08.2017 16:00:00.000 GMT-0500,3266,3427,3193,3342,2141.9516
07.08.2017 16:00:00.000 GMT-0500,3343,3489,3341,3447,2522.9366000000005
08.08.2017 16:00:00.000 GMT-0500,3447,3461,3238,3362,2983.3903
09.08.2017 16:00:00.000 GMT-0500,3372,3458,3300,3425,2222.6985000000004
10.08.2017 16:00:00.000 GMT-0500,3425,3590,3404,3588,1676.4107000000004
11.08.2017 16:00:00.000 GMT-0500,3588,3588,3588,3588,0
12.08.2017 16:00:00.000 GMT-0500,3588,3588,3588,3588,0
13.08.2017 16:00:00.000 GMT-0500,4011,4343,3984,4263,2547.4023
14.08.2017 16:00:00.000 GMT-0500,4263,4452,3810,4072,2824.5654999999992
15.08.2017 16:00:00.000 GMT-0500,4072,4355,4059,4352,661.8652
16.08.2017 16:00:00.000 GMT-0500,4325,4479,4185,4332,1676.9383
17.08.2017 16:00:00.000 GMT-0500,4328,4359,4193,4305,688.1314000000001
18.08.2017 16:00:00.000 GMT-0500,4305,4305,4305,4305,0
19.08.2017 16:00:00.000 GMT-0500,4305,4305,4305,4305,0
20.08.2017 16:00:00.000 GMT-0500,4119,4153,3967,3997,2023.4969999999998
21.08.2017 16:00:00.000 GMT-0500,3775,4144,3774,4073,1925.8091
22.08.2017 16:00:00.000 GMT-0500,4073,4265,4020,4134,2083.0338999999994
23.08.2017 16:00:00.000 GMT-0500,4134,4257,4092,4234,2122.2554
24.08.2017 16:00:00.000 GMT-0500,4234,4454,4218,4329,1984.9982000000002
25.08.2017 16:00:00.000 GMT-0500,4329,4329,4329,4329,0
26.08.2017 16:00:00.000 GMT-0500,4329,4329,4329,4329,0
27.08.2017 16:00:00.000 GMT-0500,4366,4370,4191,4340,2018.3154
28.08.2017 16:00:00.000 GMT-0500,4340,4643,4340,4597,2047.6408999999999
29.08.2017 16:00:00.000 GMT-0500,4597,4640,4500,4575,1727.7911000000001
30.08.2017 16:00:00.000 GMT-0500,4575,4769,4557,4742,1569.6657
31.08.2017 16:00:00.000 GMT-0500,4742,4745,4727,4739,134.15699999999998
01.09.2017 16:00:00.000 GMT-0500,4739,4739,4739,4739,0
02.09.2017 16:00:00.000 GMT-0500,4739,4739,4739,4739,0
03.09.2017 16:00:00.000 GMT-0500,4626,4641,4166,4367,2114.934
04.09.2017 16:00:00.000 GMT-0500,4367,4546,4138,4460,2697.0431000000003
05.09.2017 16:00:00.000 GMT-0500,4460,4690,4415,4569,2604.1743000000006
06.09.2017 16:00:00.000 GMT-0500,4569,4691,4483,4576,3231.6051
07.09.2017 16:00:00.000 GMT-0500,4598,4694,4140,4248,2702.5641000000005
08.09.2017 16:00:00.000 GMT-0500,4248,4248,4248,4248,0
09.09.2017 16:00:00.000 GMT-0500,4248,4248,4248,4248,0
10.09.2017 16:00:00.000 GMT-0500,4289,4380,4114,4193,3738.3614999999995
11.09.2017 16:00:00.000 GMT-0500,4196,4386,4080,4180,2093.8996
12.09.2017 16:00:00.000 GMT-0500,4180,4212,3737,3898,2816.5358999999994
13.09.2017 16:00:00.000 GMT-0500,3898,3958,3246,3392,2930.169
14.09.2017 16:00:00.000 GMT-0500,3392,3854,2975,3726,3424.503199999999
15.09.2017 16:00:00.000 GMT-0500,3726,3726,3726,3726,0
16.09.2017 16:00:00.000 GMT-0500,3726,3726,3726,3726,0
17.09.2017 16:00:00.000 GMT-0500,3748,4127,3705,4007,3348.3268
18.09.2017 16:00:00.000 GMT-0500,4007,4124,3851,3906,2569.9379000000004
19.09.2017 16:00:00.000 GMT-0500,3911,4046,3837,3960,2259.4912
20.09.2017 16:00:00.000 GMT-0500,3959,3975,3573,3649,2529.5969000000005
21.09.2017 16:00:00.000 GMT-0500,3650,3763,3511,3616,1308.7165000000002
22.09.2017 16:00:00.000 GMT-0500,3616,3616,3616,3616,0
23.09.2017 16:00:00.000 GMT-0500,3616,3616,3616,3616,0
