Local time,Open,High,Low,Close,Volume
31.07.2017 16:00:00.000 GMT-0500,2889,2924,2638,2743,3556.7646
01.08.2017 16:00:00.000 GMT-0500,2738,2757,2667,2691,2524.0353999999993
02.08.2017 16:00:00.000 GMT-0500,2691,2804,2649,2780,2240.1695
03.08.2017 16:00:00.000 GMT-0500,2780,2877,2761,2832,2041.2182999999995
04.08.2017 16:00:00.000 GMT-0500,2832,2832,2832,2832,0
05.08.2017 16:00:00.000 GMT-0500,2832,2832,2832,2832,0
06.08.2017 16:00:00.000 GMT-0500,3265,3423,3191,3340,2137.3518
07.08.2017 16:00:00.000 GMT-0500,3341,3487,3339,3447,2520.3777999999998
08.08.2017 16:00:00.000 GMT-0500,3447,3454,3237,3362,2986.2769000000003
09.08.2017 16:00:00.000 GMT-0500,3370,3457,3299,3425,2224.0569
10.08.2017 16:00:00.000 GMT-0500,3425,3588,3404,3588,1677.9787000000003
11.08.2017 16:00:00.000 GMT-0500,3588,3588,3588,3588,0
12.08.2017 16:00:00.000 GMT-0500,3588,3588,3588,3588,0
13.08.2017 16:00:00.000 GMT-0500,4010,4341,3978,4263,2546.7653999999998
14.08.2017 16:00:00.000 GMT-0500,4263,4450,3808,4072,2829.3283
15.08.2017 16:00:00.000 GMT-0500,4072,4352,4057,4349,662.6668999999999
16.08.2017 16:00:00.000 GMT-0500,4324,4476,4179,4328,1672.4831
17.08.2017 16:00:00.000 GMT-0500,4326,4357,4190,4300,688.2292
18.08.2017 16:00:00.000 GMT-0500,4300,4300,4300,4300,0
19.08.2017 16:00:00.000 GMT-0500,4300,4300,4300,4300,0
20.08.2017 16:00:00.000 GMT-0500,4118,4149,3964,3997,2026.0577000000003
21.08.2017 16:00:00.000 GMT-0500,3775,4141,3771,4073,1926.5566
22.08.2017 16:00:00.000 GMT-0500,4073,4260,4003,4134,2081.027
23.08.2017 16:00:00.000 GMT-0500,4134,4256,4089,4234,2119.1589
24.08.2017 16:00:00.000 GMT-0500,4234,4453,4217,4329,1983.2240000000004
25.08.2017 16:00:00.000 GMT-0500,4329,4329,4329,4329,0
26.08.2017 16:00:00.000 GMT-0500,4329,4329,4329,4329,0
27.08.2017 16:00:00.000 GMT-0500,4360,4363,4186,4340,2015.8157
28.08.2017 16:00:00.000 GMT-0500,4339,4642,4339,4597,2047.9204
29.08.2017 16:00:00.000 GMT-0500,4597,4637,4495,4575,1731.4661999999998
30.08.2017 16:00:00.000 GMT-0500,4575,4767,4555,4741,1571.1407999999994
31.08.2017 16:00:00.000 GMT-0500,4741,4744,4725,4734,134.7285
01.09.2017 16:00:00.000 GMT-0500,4734,4734,4734,4734,0
02.09.2017 16:00:00.000 GMT-0500,4734,4734,4734,4734,0
03.09.2017 16:00:00.000 GMT-0500,4626,4628,4158,4358,2110.3891999999996
04.09.2017 16:00:00.000 GMT-0500,4358,4540,4029,4457,2697.6365
05.09.2017 16:00:00.000 GMT-0500,4457,4681,4413,4569,2595.8157
06.09.2017 16:00:00.000 GMT-0500,4569,4690,4479,4576,3229.8483000000006
07.09.2017 16:00:00.000 GMT-0500,4595,4692,4139,4247,2704.5011999999997
08.09.2017 16:00:00.000 GMT-0500,4247,4247,4247,4247,0
09.09.2017 16:00:00.000 GMT-0500,4247,4247,4247,4247,0
10.09.2017 16:00:00.000 GMT-0500,4289,4379,4110,4193,3740.0868
11.09.2017 16:00:00.000 GMT-0500,4196,4385,4079,4180,2096.1452
12.09.2017 16:00:00.000 GMT-0500,4180,4206,3732,3898,2819.5605999999993
13.09.2017 16:00:00.000 GMT-0500,3897,3958,3241,3391,2922.1696999999995
14.09.2017 16:00:00.000 GMT-0500,3391,3837,2973,3720,3414.7132
15.09.2017 16:00:00.000 GMT-0500,3720,3720,3720,3720,0
16.09.2017 16:00:00.000 GMT-0500,3720,3720,3720,3720,0
17.09.2017 16:00:00.000 GMT-0500,3748,4120,3700,4006,3345.6612
18.09.2017 16:00:00.000 GMT-0500,4005,4121,3850,3905,2565.2336
19.09.2017 16:00:00.000 GMT-0500,3907,4043,3832,3955,2252.3790999999997
20.09.2017 16:00:00.000 GMT-0500,3955,3975,3572,3646,2532.4653999999996
21.09.2017 16:00:00.000 GMT-0500,3648,3761,3510,3614,1311.0076
22.09.2017 16:00:00.000 GMT-0500,3614,3614,3614,3614,0
23.09.2017 16:00:00.000 GMT-0500,3614,3614,3614,3614,0
24.09.2017 16:00:00.000 GMT-0500,3670,3960,3662,3940,904.0075999999998
25.09.2017 16:00:00.000 GMT-0500,3940,3965,3850,3908,2015.1526000000001
26.09.2017 16:00:00.000 GMT-0500,3908,4191,3872,4154,2034.1152999999997
27.09.2017 16:00:00.000 GMT-0500,4154,4276,4124,4165,2366.4937
28.09.2017 16:00:00.000 GMT-0500,4165,4219,4015,4169,1616.4251
29.09.2017 16:00:00.000 GMT-0500,4169,4169,4169,4169,0
30.09.2017 16:00:00.000 GMT-0500,4169,4169,4169,4169,0
01.10.2017 16:00:00.000 GMT-0500,4387,4469,4360,4390,866.2101999999999
02.10.2017 16:00:00.000 GMT-0500,4390,4425,4236,4283,1032.4353
03.10.2017 16:00:00.000 GMT-0500,4283,4347,4182,4200,1506.0690000000002
04.10.2017 16:00:00.000 GMT-0500,4200,4360,4145,4347,1437.4875
05.10.2017 16:00:00.000 GMT-0500,4347,4416,4293,4338,1442.7486999999996
06.10.2017 16:00:00.000 GMT-0500,4338,4338,4338,4338,0
07.10.2017 16:00:00.000 GMT-0500,4338,4338,4338,4338,0
08.10.2017 16:00:00.000 GMT-0500,4583,4870,4555,4838,1828.6660999999997
