Local time,Open,High,Low,Close,Volume
01.08.2017 00:00:00.000 GMT-0500,2885,2928,2863,2904,184.9375
01.08.2017 01:00:00.000 GMT-0500,2904,2915,2850,2860,165.3635
01.08.2017 02:00:00.000 GMT-0500,2861,2881,2768,2776,186.3393
01.08.2017 03:00:00.000 GMT-0500,2776,2842,2673,2710,216.628
01.08.2017 04:00:00.000 GMT-0500,2712,2772,2690,2740,147.5201
01.08.2017 05:00:00.000 GMT-0500,2740,2842,2731,2818,122.5889
01.08.2017 06:00:00.000 GMT-0500,2818,2842,2778,2818,115.3723
01.08.2017 07:00:00.000 GMT-0500,2818,2833,2720,2791,143.7698
01.08.2017 08:00:00.000 GMT-0500,2801,2801,2646,2698,145.9394
01.08.2017 09:00:00.000 GMT-0500,2702,2785,2694,2727,80.6862
01.08.2017 10:00:00.000 GMT-0500,2728,2783,2690,2696,67.6126
01.08.2017 11:00:00.000 GMT-0500,2697,2766,2679,2744,54.1866
01.08.2017 12:00:00.000 GMT-0500,2744,2786,2724,2728,71.6143
01.08.2017 13:00:00.000 GMT-0500,2727,2794,2727,2744,90.292
01.08.2017 14:00:00.000 GMT-0500,2744,2782,2743,2781,74.7758
01.08.2017 15:00:00.000 GMT-0500,2781,2784,2743,2745,78.7706
01.08.2017 16:00:00.000 GMT-0500,2740,2751,2724,2726,86.5564
01.08.2017 17:00:00.000 GMT-0500,2726,2736,2707,2708,69.5247
01.08.2017 18:00:00.000 GMT-0500,2708,2739,2700,2730,87.9803
01.08.2017 19:00:00.000 GMT-0500,2730,2738,2699,2701,138.2387
01.08.2017 20:00:00.000 GMT-0500,2701,2724,2698,2723,133.2135
01.08.2017 21:00:00.000 GMT-0500,2723,2757,2720,2742,108.4042
01.08.2017 22:00:00.000 GMT-0500,2743,2745,2726,2734,94.8659
01.08.2017 23:00:00.000 GMT-0500,2734,2743,2731,2742,105.1723
02.08.2017 00:00:00.000 GMT-0500,2742,2760,2738,2743,120.6656
02.08.2017 01:00:00.000 GMT-0500,2743,2749,2736,2738,71.269
02.08.2017 02:00:00.000 GMT-0500,2738,2740,2714,2718,103.9387
02.08.2017 03:00:00.000 GMT-0500,2718,2722,2710,2718,97.8437
02.08.2017 04:00:00.000 GMT-0500,2718,2740,2711,2732,91.9055
02.08.2017 05:00:00.000 GMT-0500,2735,2737,2713,2717,100.0065
02.08.2017 06:00:00.000 GMT-0500,2720,2758,2715,2751,113.0537
02.08.2017 07:00:00.000 GMT-0500,2753,2758,2735,2737,100.8302
02.08.2017 08:00:00.000 GMT-0500,2737,2737,2668,2675,119.2251
02.08.2017 09:00:00.000 GMT-0500,2675,2702,2675,2692,140.2352
02.08.2017 10:00:00.000 GMT-0500,2692,2708,2692,2698,121.5105
02.08.2017 11:00:00.000 GMT-0500,2698,2711,2695,2704,146.6015
02.08.2017 12:00:00.000 GMT-0500,2704,2720,2702,2706,122.3884
02.08.2017 13:00:00.000 GMT-0500,2706,2716,2704,2712,78.5202
02.08.2017 14:00:00.000 GMT-0500,2713,2716,2702,2706,79.3549
02.08.2017 15:00:00.000 GMT-0500,2706,2706,2685,2691,97.7506
02.08.2017 16:00:00.000 GMT-0500,2691,2691,2650,2669,94.133
02.08.2017 17:00:00.000 GMT-0500,2669,2699,2660,2693,133.1705
02.08.2017 18:00:00.000 GMT-0500,2693,2702,2678,2700,106.6539
02.08.2017 19:00:00.000 GMT-0500,2700,2721,2699,2717,96.3898
02.08.2017 20:00:00.000 GMT-0500,2718,2719,2704,2715,107.663
02.08.2017 21:00:00.000 GMT-0500,2715,2718,2709,2714,106.5623
02.08.2017 22:00:00.000 GMT-0500,2714,2723,2712,2723,67.8833
