Local time,Open,High,Low,Close,Volume
31.07.2017 16:00:00.000 GMT-0500,2889,4767,2638,4741,47810.07010000003
31.08.2017 16:00:00.000 GMT-0500,4741,4744,2973,4169,49408.53609999998
30.09.2017 16:00:00.000 GMT-0500,4387,6415,4145,6372,44374.054499999984
31.10.2017 16:00:00.000 GMT-0500,6377,11433,5603,9660,52439.57459999996
30.11.2017 17:00:00.000 GMT-0500,9645,19510,9373,14308,42781.01760000001
31.12.2017 17:00:00.000 GMT-0500,13496,16880,9125,9965,18258.266300000007
31.01.2018 17:00:00.000 GMT-0500,9957,11716,5882,10471,17477.0206
28.02.2018 17:00:00.000 GMT-0500,10479,11621,6516,6793,25279.507499999996
31.03.2018 16:00:00.000 GMT-0500,6749,9683,6438,9201,29897.16499999998
30.04.2018 16:00:00.000 GMT-0500,9201,9727,6987,7476,26643.415
31.05.2018 16:00:00.000 GMT-0500,7475,7690,5732,5842,25402.515000000014
30.06.2018 16:00:00.000 GMT-0500,6280,8421,6026,7633,26398.942500000012
31.07.2018 16:00:00.000 GMT-0500,7643,7711,5827,6988,2715.0466000000015
31.08.2018 16:00:00.000 GMT-0500,7224,7344,6051,6588,60.65380000000002
30.09.2018 16:00:00.000 GMT-0500,6503,7256,6061,6243,25.66550000000004
31.10.2018 16:00:00.000 GMT-0500,6243,6478,3461,3871,27.878399999999978
30.11.2018 17:00:00.000 GMT-0500,4086,4176,3077,3613,33.484100000000005
31.12.2018 17:00:00.000 GMT-0500,3613,4049,3285,3357,24.661400000000018
31.01.2019 17:00:00.000 GMT-0500,3358,3927,3278,3741,3062.9007
28.02.2019 17:00:00.000 GMT-0500,3741,4046,3613,4014,2721.951
31.03.2019 16:00:00.000 GMT-0500,4038,5564,4000,5180,1429.9061999999985
30.04.2019 16:00:00.000 GMT-0500,5176,9026,5176,8447,2376.844899999998
31.05.2019 16:00:00.000 GMT-0500,8627,13797,7385,12160,6314.898599999999
30.06.2019 16:00:00.000 GMT-0500,11331,13132,9024,9968,18834.1399
31.07.2019 16:00:00.000 GMT-0500,9968,12261,9270,9570,10465.769199999995
31.08.2019 16:00:00.000 GMT-0500,9584,10888,7658,8181,9078.752900000005
30.09.2019 16:00:00.000 GMT-0500,8181,9876,7247,9154,11871.817200000005
31.10.2019 16:00:00.000 GMT-0500,9155,9507,6471,7688,11515.18009999999
30.11.2019 17:00:00.000 GMT-0500,7297,7713,6379,7101,9120.995100000007
31.12.2019 17:00:00.000 GMT-0500,7101,9508,6803,9248,15166.909299999992
31.01.2020 17:00:00.000 GMT-0500,9378,10454,8381,8560,13056.817100000007
29.02.2020 17:00:00.000 GMT-0500,8425,9124,3851,6424,19853.082699999995
31.03.2020 16:00:00.000 GMT-0500,6424,9414,6103,8771,21352.41530000002
30.04.2020 16:00:00.000 GMT-0500,8771,10016,8146,9362,19655.962600000006
31.05.2020 16:00:00.000 GMT-0500,9450,10357,8854,9090,10163.751200000006
30.06.2020 16:00:00.000 GMT-0500,9091,11398,8870,11271,2815.7251
31.07.2020 16:00:00.000 GMT-0500,11569,12420,10907,11622,40.756700000000045
31.08.2020 16:00:00.000 GMT-0500,11618,12005,9831,10687,52.76130000000004
30.09.2020 16:00:00.000 GMT-0500,10685,14069,10366,13827,24.988599999999987
31.10.2020 16:00:00.000 GMT-0500,13827,19858,13198,19357,58.88099999999998
30.11.2020 17:00:00.000 GMT-0500,19358,29275,17566,28968,89.05310000000007
31.12.2020 17:00:00.000 GMT-0500,29223,41967,27910,32549,951715.6904999998
31.01.2021 17:00:00.000 GMT-0500,32634,58305,32312,45178,47.168199999999985
28.02.2021 17:00:00.000 GMT-0500,45208,61722,44825,58917,52.402300000000054
31.03.2021 16:00:00.000 GMT-0500,58919,64849,47058,56774,47.57580000000002
30.04.2021 16:00:00.000 GMT-0500,56779,59534,29814,36650,74.74150000000006
31.05.2021 16:00:00.000 GMT-0500,36650,41264,28796,34537,65.06200000000001
30.06.2021 16:00:00.000 GMT-0500,34525,42317,29268,41492,34.83689999999998
31.07.2021 16:00:00.000 GMT-0500,41492,50457,37307,46938,42.62170000000003
31.08.2021 16:00:00.000 GMT-0500,46914,52884,39559,43373,53.75049999999998
30.09.2021 16:00:00.000 GMT-0500,43374,66924,43233,60909,63.04660000000003
31.10.2021 16:00:00.000 GMT-0500,60894,68933,53368,57058,50.73829999999999
30.11.2021 17:00:00.000 GMT-0500,57025,59046,42387,47429,48.72229999999997
31.12.2021 17:00:00.000 GMT-0500,46974,47919,32926,38382,43.559600000000074
31.01.2022 17:00:00.000 GMT-0500,38376,45791,34300,41594,30.50279999999999
28.02.2022 17:00:00.000 GMT-0500,41627,48229,37119,45712,35.037600000000054
31.03.2022 16:00:00.000 GMT-0500,45703,47452,37694,38376,23.6843
30.04.2022 16:00:00.000 GMT-0500,38376,39969,25340,31716,45.29819999999998
31.05.2022 16:00:00.000 GMT-0500,31719,31907,17520,18698,62.947500000000005
30.06.2022 16:00:00.000 GMT-0500,18683,24598,18639,23762,62.95090000000002
31.07.2022 16:00:00.000 GMT-0500,23742,25166,19488,20160,44.6248
31.08.2022 16:00:00.000 GMT-0500,20160,22738,18140,19387,27.746599999999972
30.09.2022 16:00:00.000 GMT-0500,19387,21034,18153,20370,18.521499999999993
31.10.2022 16:00:00.000 GMT-0500,20370,21414,15440,17067,26.922599999999974
30.11.2022 17:00:00.000 GMT-0500,17067,18340,16240,16530,17.740900000000007
