Local time,Open,High,Low,Close,Volume
30.07.2017 16:00:00.000 GMT-0500,2761,2928,2646,2832,13105.575300000002
06.08.2017 16:00:00.000 GMT-0500,3266,3590,3193,3588,11547.387699999996
13.08.2017 16:00:00.000 GMT-0500,4011,4479,3810,4305,8398.902700000002
20.08.2017 16:00:00.000 GMT-0500,4119,4454,3774,4329,10139.5936
27.08.2017 16:00:00.000 GMT-0500,4366,4769,4191,4739,7497.5701
03.09.2017 16:00:00.000 GMT-0500,4626,4694,4138,4248,13350.320599999995
10.09.2017 16:00:00.000 GMT-0500,4289,4386,2975,3726,15003.469199999992
17.09.2017 16:00:00.000 GMT-0500,3748,4127,3511,3616,12016.069299999997
24.09.2017 16:00:00.000 GMT-0500,3670,4277,3664,4173,8939.262100000004
01.10.2017 16:00:00.000 GMT-0500,4388,4470,4146,4341,6286.0655000000015
08.10.2017 16:00:00.000 GMT-0500,4583,5868,4557,5617,10425.268000000002
15.10.2017 16:00:00.000 GMT-0500,5525,6064,5110,5973,10178.242200000002
22.10.2017 16:00:00.000 GMT-0500,5882,6059,5374,5756,13884.254400000003
29.10.2017 16:00:00.000 GMT-0500,6177,7451,6028,7229,10716.089000000004
05.11.2017 17:00:00.000 GMT-0500,7361,7883,6420,6584,13783.059400000004
12.11.2017 17:00:00.000 GMT-0500,5894,7999,5605,7707,13160.160400000004
19.11.2017 17:00:00.000 GMT-0500,8022,8376,7800,8250,8307.7435
26.11.2017 17:00:00.000 GMT-0500,9335,11439,9020,10903,13475.515599999999
03.12.2017 17:00:00.000 GMT-0500,10955,17639,10576,15647,9971.835899999998
10.12.2017 17:00:00.000 GMT-0500,14805,17964,14543,17633,7813.3236
17.12.2017 17:00:00.000 GMT-0500,18985,19512,10778,14245,9998.225400000003
24.12.2017 17:00:00.000 GMT-0500,13172,16502,13017,14313,11676.807499999997
31.12.2017 17:00:00.000 GMT-0500,13599,16980,13021,16882,3537.9116
07.01.2018 17:00:00.000 GMT-0500,16243,16511,12844,13797,4005.2286999999983
14.01.2018 17:00:00.000 GMT-0500,13460,14374,9225,11410,4575.472199999997
21.01.2018 17:00:00.000 GMT-0500,11424,11932,10008,10948,6132.6205000000045
28.01.2018 17:00:00.000 GMT-0500,11828,11835,7664,8635,39.319299999999984
04.02.2018 17:00:00.000 GMT-0500,8118,8777,5982,8606,4430.6332
11.02.2018 17:00:00.000 GMT-0500,8344,10346,8070,10138,3819.6634
18.02.2018 17:00:00.000 GMT-0500,10810,11826,9642,9970,5086.014999999999
25.02.2018 17:00:00.000 GMT-0500,9645,11228,9434,11080,5679.089999999998
04.03.2018 17:00:00.000 GMT-0500,11477,11771,8486,9199,4047.730000000001
11.03.2018 16:00:00.000 GMT-0500,9646,10005,7783,8636,3708.539999999999
18.03.2018 16:00:00.000 GMT-0500,8309,9247,8162,8692,6475.47
25.03.2018 16:00:00.000 GMT-0500,8697,8720,6661,6939,9494.175000000005
