Local time,Open,High,Low,Close,Volume
30.07.2017 16:00:00.000 GMT-0500,2760,2924,2638,2832,13099.3139
06.08.2017 16:00:00.000 GMT-0500,3265,3588,3191,3588,11546.042099999995
13.08.2017 16:00:00.000 GMT-0500,4010,4476,3808,4300,8399.4729
20.08.2017 16:00:00.000 GMT-0500,4118,4453,3771,4329,10136.024200000002
27.08.2017 16:00:00.000 GMT-0500,4360,4767,4186,4734,7501.071599999999
03.09.2017 16:00:00.000 GMT-0500,4626,4692,4029,4247,13338.190899999996
10.09.2017 16:00:00.000 GMT-0500,4289,4385,2973,3720,14992.675499999998
17.09.2017 16:00:00.000 GMT-0500,3748,4121,3510,3614,12006.746900000002
24.09.2017 16:00:00.000 GMT-0500,3670,4276,3662,4169,8936.194300000003
01.10.2017 16:00:00.000 GMT-0500,4387,4469,4145,4338,6284.9506999999985
08.10.2017 16:00:00.000 GMT-0500,4583,5866,4555,5613,10409.394200000002
15.10.2017 16:00:00.000 GMT-0500,5525,6064,5107,5973,10182.948
22.10.2017 16:00:00.000 GMT-0500,5882,6057,5373,5751,13877.6914
29.10.2017 16:00:00.000 GMT-0500,6177,7449,6027,7228,10697.760400000001
05.11.2017 17:00:00.000 GMT-0500,7353,7882,6414,6580,13781.819000000001
12.11.2017 17:00:00.000 GMT-0500,5891,7996,5603,7697,13159.250699999993
19.11.2017 17:00:00.000 GMT-0500,8018,8374,7798,8249,8290.861999999997
26.11.2017 17:00:00.000 GMT-0500,9450,11433,8980,10897,13462.54730000001
03.12.2017 17:00:00.000 GMT-0500,10915,17021,10500,15640,9969.347200000002
10.12.2017 17:00:00.000 GMT-0500,14574,17957,14524,17629,7811.773
17.12.2017 17:00:00.000 GMT-0500,18980,19510,10772,14234,10005.905600000004
24.12.2017 17:00:00.000 GMT-0500,13123,16499,12973,14308,11660.397200000001
31.12.2017 17:00:00.000 GMT-0500,13496,16880,12921,16782,3535.5637000000006
07.01.2018 17:00:00.000 GMT-0500,16140,16408,12744,13697,4002.596699999998
14.01.2018 17:00:00.000 GMT-0500,13357,14274,9125,11310,4572.045800000003
21.01.2018 17:00:00.000 GMT-0500,11322,11832,9908,10847,6125.8462
28.01.2018 17:00:00.000 GMT-0500,11725,11734,7564,8535,39.319299999999984
04.02.2018 17:00:00.000 GMT-0500,8018,8677,5882,8505,4430.965300000001
11.02.2018 17:00:00.000 GMT-0500,8242,10236,7970,10028,3819.6623999999997
18.02.2018 17:00:00.000 GMT-0500,10698,11716,9532,9860,5086.102499999999
25.02.2018 17:00:00.000 GMT-0500,9535,11118,9323,10970,5678.0149999999985
04.03.2018 17:00:00.000 GMT-0500,11367,11621,8336,9049,4047.730000000001
11.03.2018 16:00:00.000 GMT-0500,9496,9855,7633,8486,3708.539999999999
18.03.2018 16:00:00.000 GMT-0500,8159,9097,8012,8542,6474.9825
25.03.2018 16:00:00.000 GMT-0500,8547,8570,6516,6793,9493.425
01.04.2018 16:00:00.000 GMT-0500,6749,7435,6438,6530,8317.415
08.04.2018 16:00:00.000 GMT-0500,6923,8147,6545,7821,5967.58
15.04.2018 16:00:00.000 GMT-0500,8232,8485,7754,8450,6257.907499999999
22.04.2018 16:00:00.000 GMT-0500,8841,9683,8588,8902,8278.420000000002
29.04.2018 16:00:00.000 GMT-0500,9251,9727,8763,9613,5888.115000000001
06.05.2018 16:00:00.000 GMT-0500,9468,9587,8319,8372,6122.989999999999
13.05.2018 16:00:00.000 GMT-0500,8592,8813,7864,8161,4400.612500000001
20.05.2018 16:00:00.000 GMT-0500,8459,8513,7207,7380,6677.055000000002
27.05.2018 16:00:00.000 GMT-0500,7259,7541,6987,7373,5750.255000000001
03.06.2018 16:00:00.000 GMT-0500,7626,7690,7293,7581,4951.357500000003
10.06.2018 16:00:00.000 GMT-0500,6675,6842,6068,6433,6788.2125000000015
17.06.2018 16:00:00.000 GMT-0500,6431,6771,5847,6007,5556.047499999999
24.06.2018 16:00:00.000 GMT-0500,6121,6271,5732,5842,6987.127500000004
