Local time,Open,High,Low,Close,Volume
31.12.2003 17:00:00.000 GMT-0500,1.78573,1.78813,1.78111,1.78271,27554.1704
01.01.2004 17:00:00.000 GMT-0500,1.78312,1.79487,1.77854,1.79304,177189.24899999998
02.01.2004 17:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
03.01.2004 17:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
04.01.2004 17:00:00.000 GMT-0500,1.79170,1.81036,1.79162,1.80646,182658.0095
05.01.2004 17:00:00.000 GMT-0500,1.80643,1.82766,1.80459,1.82135,187744.8921
06.01.2004 17:00:00.000 GMT-0500,1.82140,1.82595,1.81204,1.81757,189501.2323
07.01.2004 17:00:00.000 GMT-0500,1.81788,1.83610,1.81052,1.83361,200761.76290000003
08.01.2004 17:00:00.000 GMT-0500,1.83345,1.84948,1.82772,1.84750,184208.5832
09.01.2004 17:00:00.000 GMT-0500,1.84750,1.84750,1.84750,1.84750,0
10.01.2004 17:00:00.000 GMT-0500,1.84750,1.84750,1.84750,1.84750,0
11.01.2004 17:00:00.000 GMT-0500,1.84718,1.85772,1.84494,1.84555,189279.4064
12.01.2004 17:00:00.000 GMT-0500,1.84560,1.85345,1.83997,1.84740,189038.9005
13.01.2004 17:00:00.000 GMT-0500,1.84719,1.84875,1.83116,1.83271,189579.05769999998
14.01.2004 17:00:00.000 GMT-0500,1.83283,1.83472,1.81780,1.82230,188266.01739999998
15.01.2004 17:00:00.000 GMT-0500,1.82250,1.82672,1.79312,1.79802,188732.4202
16.01.2004 17:00:00.000 GMT-0500,1.79802,1.79802,1.79802,1.79802,0
17.01.2004 17:00:00.000 GMT-0500,1.79802,1.79802,1.79802,1.79802,0
18.01.2004 17:00:00.000 GMT-0500,1.79648,1.80189,1.78229,1.78315,182469.23250000004
19.01.2004 17:00:00.000 GMT-0500,1.78309,1.82173,1.78231,1.82049,187270.07510000002
20.01.2004 17:00:00.000 GMT-0500,1.82046,1.83693,1.81472,1.83218,189634.63700000002
21.01.2004 17:00:00.000 GMT-0500,1.83235,1.84772,1.83107,1.84432,186950.03360000002
22.01.2004 17:00:00.000 GMT-0500,1.84425,1.85204,1.81699,1.82579,189243.21149999998
23.01.2004 17:00:00.000 GMT-0500,1.82579,1.82579,1.82579,1.82579,0
24.01.2004 17:00:00.000 GMT-0500,1.82579,1.82579,1.82579,1.82579,0
25.01.2004 17:00:00.000 GMT-0500,1.82287,1.83062,1.81049,1.81458,189755.73019999996
26.01.2004 17:00:00.000 GMT-0500,1.81451,1.82887,1.80190,1.82757,194933.1371
27.01.2004 17:00:00.000 GMT-0500,1.82765,1.83819,1.81692,1.81856,189137.157
28.01.2004 17:00:00.000 GMT-0500,1.81832,1.82678,1.80851,1.81609,225352.53290000002
29.01.2004 17:00:00.000 GMT-0500,1.81603,1.82610,1.80580,1.82387,197253.4397
30.01.2004 17:00:00.000 GMT-0500,1.82387,1.82387,1.82387,1.82387,0
31.01.2004 17:00:00.000 GMT-0500,1.82387,1.82387,1.82387,1.82387,0
01.02.2004 17:00:00.000 GMT-0500,1.82277,1.82705,1.81354,1.81952,189041.3249
02.02.2004 17:00:00.000 GMT-0500,1.81934,1.84226,1.81906,1.83895,186748.21480000002
03.02.2004 17:00:00.000 GMT-0500,1.83909,1.84008,1.82830,1.83147,187025.6854
04.02.2004 17:00:00.000 GMT-0500,1.83142,1.84245,1.83025,1.83439,187324.1894
05.02.2004 17:00:00.000 GMT-0500,1.83426,1.85163,1.83141,1.84724,186971.94210000001
06.02.2004 17:00:00.000 GMT-0500,1.84724,1.84724,1.84724,1.84724,0
07.02.2004 17:00:00.000 GMT-0500,1.84724,1.84724,1.84724,1.84724,0
08.02.2004 17:00:00.000 GMT-0500,1.84325,1.86270,1.84044,1.86082,193566.45529999997
09.02.2004 17:00:00.000 GMT-0500,1.86082,1.87334,1.85788,1.86760,185836.285
10.02.2004 17:00:00.000 GMT-0500,1.86780,1.89211,1.86461,1.89086,184724.78190000003
11.02.2004 17:00:00.000 GMT-0500,1.89115,1.89514,1.88788,1.89244,192611.3716
12.02.2004 17:00:00.000 GMT-0500,1.89246,1.89860,1.87856,1.88510,186042.9791
13.02.2004 17:00:00.000 GMT-0500,1.88510,1.88510,1.88510,1.88510,0
14.02.2004 17:00:00.000 GMT-0500,1.88510,1.88510,1.88510,1.88510,0
15.02.2004 17:00:00.000 GMT-0500,1.88394,1.89160,1.88125,1.88987,189551.4209
16.02.2004 17:00:00.000 GMT-0500,1.89002,1.90821,1.88677,1.90468,188274.7745
17.02.2004 17:00:00.000 GMT-0500,1.90459,1.91403,1.88387,1.88876,192020.3184
18.02.2004 17:00:00.000 GMT-0500,1.88910,1.89786,1.88636,1.89390,186921.25559999997
19.02.2004 17:00:00.000 GMT-0500,1.89429,1.89972,1.85616,1.86128,187808.8971
20.02.2004 17:00:00.000 GMT-0500,1.86128,1.86128,1.86128,1.86128,0
21.02.2004 17:00:00.000 GMT-0500,1.86128,1.86128,1.86128,1.86128,0
22.02.2004 17:00:00.000 GMT-0500,1.86037,1.87051,1.84570,1.86777,186546.32790000003
23.02.2004 17:00:00.000 GMT-0500,1.86790,1.89374,1.86204,1.89116,188867.2444
24.02.2004 17:00:00.000 GMT-0500,1.89105,1.89437,1.86911,1.87011,201596.364
25.02.2004 17:00:00.000 GMT-0500,1.87022,1.87772,1.85508,1.86179,188373.90999999997
26.02.2004 17:00:00.000 GMT-0500,1.86172,1.86887,1.84683,1.86825,191421.19240000003
27.02.2004 17:00:00.000 GMT-0500,1.86825,1.86825,1.86825,1.86825,0
28.02.2004 17:00:00.000 GMT-0500,1.86825,1.86825,1.86825,1.86825,0
29.02.2004 17:00:00.000 GMT-0500,1.86742,1.87469,1.86420,1.86919,188841.4656
01.03.2004 17:00:00.000 GMT-0500,1.86928,1.87041,1.83493,1.84051,194542.88539999997
02.03.2004 17:00:00.000 GMT-0500,1.84095,1.84102,1.81564,1.82969,190385.4465
03.03.2004 17:00:00.000 GMT-0500,1.82950,1.83740,1.81992,1.82339,190519.63570000004
04.03.2004 17:00:00.000 GMT-0500,1.82324,1.84955,1.81741,1.84589,188177.35129999998
05.03.2004 17:00:00.000 GMT-0500,1.84589,1.84589,1.84589,1.84589,0
06.03.2004 17:00:00.000 GMT-0500,1.84589,1.84589,1.84589,1.84589,0
07.03.2004 17:00:00.000 GMT-0500,1.84808,1.85441,1.84184,1.85056,189597.19959999996
08.03.2004 17:00:00.000 GMT-0500,1.85079,1.85865,1.82219,1.82685,193502.2827
09.03.2004 17:00:00.000 GMT-0500,1.82700,1.82821,1.79610,1.80232,185696.60270000002
10.03.2004 17:00:00.000 GMT-0500,1.80230,1.81492,1.79260,1.81119,187607.5889
11.03.2004 17:00:00.000 GMT-0500,1.81120,1.81407,1.79060,1.80336,188518.4866
12.03.2004 17:00:00.000 GMT-0500,1.80336,1.80336,1.80336,1.80336,0
13.03.2004 17:00:00.000 GMT-0500,1.80336,1.80336,1.80336,1.80336,0
14.03.2004 17:00:00.000 GMT-0500,1.79600,1.81163,1.79412,1.80516,187252.362
15.03.2004 17:00:00.000 GMT-0500,1.80522,1.81954,1.80032,1.81232,188525.77819999997
16.03.2004 17:00:00.000 GMT-0500,1.81261,1.81808,1.80670,1.81657,188565.0623
17.03.2004 17:00:00.000 GMT-0500,1.81659,1.84025,1.81542,1.83495,189016.3225
18.03.2004 17:00:00.000 GMT-0500,1.83503,1.83687,1.82546,1.83336,186384.73999999996
19.03.2004 17:00:00.000 GMT-0500,1.83336,1.83336,1.83336,1.83336,0
20.03.2004 17:00:00.000 GMT-0500,1.83336,1.83336,1.83336,1.83336,0
21.03.2004 17:00:00.000 GMT-0500,1.83300,1.84970,1.82637,1.84663,186521.5106
22.03.2004 17:00:00.000 GMT-0500,1.84688,1.85386,1.84065,1.84962,184257.99589999995
23.03.2004 17:00:00.000 GMT-0500,1.84950,1.85388,1.82183,1.82552,198261.9481
24.03.2004 17:00:00.000 GMT-0500,1.82537,1.82614,1.79904,1.80683,197791.12429999997
25.03.2004 17:00:00.000 GMT-0500,1.80660,1.82352,1.80030,1.81586,187106.29900000003
