Local time,Open,High,Low,Close,Volume
31.12.2003 17:00:00.000 GMT-0500,1.78573,1.85772,1.77854,1.82387,4026512.888200002
31.01.2004 17:00:00.000 GMT-0500,1.82277,1.91403,1.81354,1.86825,3781274.934700004
29.02.2004 17:00:00.000 GMT-0500,1.86742,1.87469,1.79060,1.84608,4367920.852000004
31.03.2004 17:00:00.000 GMT-0500,1.84596,1.86005,1.75814,1.77817,4207746.666500002
30.04.2004 16:00:00.000 GMT-0500,1.77912,1.84213,1.74834,1.83227,4002868.8649000023
31.05.2004 16:00:00.000 GMT-0500,1.83239,1.84868,1.80122,1.81986,4276837.264100007
30.06.2004 16:00:00.000 GMT-0500,1.81995,1.87725,1.80855,1.81964,4221106.532000006
31.07.2004 16:00:00.000 GMT-0500,1.81963,1.84664,1.78525,1.80252,4168716.9988000025
31.08.2004 16:00:00.000 GMT-0500,1.80252,1.81602,1.77085,1.81188,4079800.9294000017
30.09.2004 16:00:00.000 GMT-0500,1.81191,1.84500,1.77459,1.83618,3872239.818700003
31.10.2004 17:00:00.000 GMT-0500,1.83860,1.91303,1.82969,1.90931,3933614.308200003
30.11.2004 17:00:00.000 GMT-0500,1.90965,1.95474,1.90151,1.91824,3995171.8173000035
31.12.2004 17:00:00.000 GMT-0500,1.91944,1.92003,1.85278,1.88262,3626888.269200003
31.01.2005 17:00:00.000 GMT-0500,1.88267,1.92589,1.84980,1.92085,3496586.259999999
28.02.2005 17:00:00.000 GMT-0500,1.92088,1.93245,1.85923,1.89027,4114697.939200004
31.03.2005 17:00:00.000 GMT-0500,1.89029,1.92151,1.86696,1.90880,3886008.337899997
30.04.2005 16:00:00.000 GMT-0500,1.90811,1.90834,1.81108,1.81715,3816494.2089000028
31.05.2005 16:00:00.000 GMT-0500,1.81765,1.84002,1.78717,1.79135,3758978.1249000025
30.06.2005 16:00:00.000 GMT-0500,1.79122,1.79177,1.72819,1.75769,3604732.129600004
31.07.2005 16:00:00.000 GMT-0500,1.75753,1.81755,1.75392,1.80408,3955897.4125000015
31.08.2005 16:00:00.000 GMT-0500,1.80415,1.84999,1.75663,1.76435,3782372.231600003
30.09.2005 16:00:00.000 GMT-0500,1.76512,1.79027,1.73919,1.76965,3588077.572800001
31.10.2005 17:00:00.000 GMT-0500,1.76942,1.77920,1.70484,1.72925,3731704.7374000046
30.11.2005 17:00:00.000 GMT-0500,1.72927,1.78076,1.71294,1.72265,3731155.1046999986
31.12.2005 17:00:00.000 GMT-0500,1.72269,1.79314,1.71773,1.77945,3730250.119100006
31.01.2006 17:00:00.000 GMT-0500,1.77948,1.78130,1.72822,1.75355,3373749.695900003
28.02.2006 17:00:00.000 GMT-0500,1.75358,1.76236,1.72291,1.73695,3893101.013300005
31.03.2006 17:00:00.000 GMT-0500,1.73687,1.82590,1.72510,1.82570,3386919.785800001
30.04.2006 16:00:00.000 GMT-0500,1.82463,1.90202,1.82053,1.86955,3928099.166100004
31.05.2006 16:00:00.000 GMT-0500,1.86960,1.88783,1.80779,1.84810,3774512.8278000043
30.06.2006 16:00:00.000 GMT-0500,1.84859,1.86894,1.81769,1.86750,3573114.4849000024
31.07.2006 16:00:00.000 GMT-0500,1.86755,1.91408,1.86271,1.90460,3934686.268699999
