Local time,Open,High,Low,Close,Volume
31.12.2003 17:00:00.000 GMT-0500,1.78547,1.85759,1.77832,1.82377,3454250.6014999985
31.01.2004 17:00:00.000 GMT-0500,1.82261,1.91378,1.81334,1.86810,3262034.7921999996
29.02.2004 17:00:00.000 GMT-0500,1.86728,1.87443,1.79043,1.84598,3754811.506800002
31.03.2004 17:00:00.000 GMT-0500,1.84581,1.85995,1.75803,1.77787,3613900.0325000025
30.04.2004 16:00:00.000 GMT-0500,1.77872,1.84193,1.74812,1.83197,3446614.2693999987
31.05.2004 16:00:00.000 GMT-0500,1.83199,1.84846,1.80106,1.81956,3688943.5919000027
30.06.2004 16:00:00.000 GMT-0500,1.81955,1.87705,1.80835,1.81934,3626899.2566000014
31.07.2004 16:00:00.000 GMT-0500,1.81923,1.84642,1.78509,1.80222,3592693.9261000003
31.08.2004 16:00:00.000 GMT-0500,1.80212,1.81588,1.77062,1.81158,3518893.0849000025
30.09.2004 16:00:00.000 GMT-0500,1.81151,1.84474,1.77433,1.83588,3335754.142700002
31.10.2004 17:00:00.000 GMT-0500,1.83844,1.91283,1.82959,1.90921,3389923.7919000033
30.11.2004 17:00:00.000 GMT-0500,1.90949,1.95469,1.90135,1.91814,3429648.592799998
31.12.2004 17:00:00.000 GMT-0500,1.91930,1.91985,1.85258,1.88252,3127381.9019000037
31.01.2005 17:00:00.000 GMT-0500,1.88253,1.92572,1.84974,1.92065,3007153.1580999987
28.02.2005 17:00:00.000 GMT-0500,1.92073,1.93231,1.85903,1.89017,3546185.134699999
31.03.2005 17:00:00.000 GMT-0500,1.89014,1.92137,1.86686,1.90850,3347420.0692999978
30.04.2005 16:00:00.000 GMT-0500,1.90771,1.90814,1.81088,1.81685,3298953.8913000003
31.05.2005 16:00:00.000 GMT-0500,1.81695,1.83982,1.78707,1.79105,3237627.7326999963
30.06.2005 16:00:00.000 GMT-0500,1.79102,1.79157,1.72798,1.75739,3103406.3976000003
31.07.2005 16:00:00.000 GMT-0500,1.75713,1.81740,1.75374,1.80378,3419095.351199998
31.08.2005 16:00:00.000 GMT-0500,1.80345,1.84985,1.75650,1.76405,3260279.533399998
30.09.2005 16:00:00.000 GMT-0500,1.76472,1.79001,1.73906,1.76955,3097925.2509999997
31.10.2005 17:00:00.000 GMT-0500,1.76928,1.77904,1.70474,1.72915,3215281.8480999973
30.11.2005 17:00:00.000 GMT-0500,1.72913,1.78061,1.71274,1.72255,3209863.6398999994
31.12.2005 17:00:00.000 GMT-0500,1.72255,1.79303,1.71755,1.77935,3229962.1141999983
31.01.2006 17:00:00.000 GMT-0500,1.77933,1.78120,1.72802,1.75345,2912107.2970999987
28.02.2006 17:00:00.000 GMT-0500,1.75343,1.76210,1.72273,1.73685,3366756.510999997
31.03.2006 17:00:00.000 GMT-0500,1.73647,1.82561,1.72492,1.82540,2924582.5248000007
30.04.2006 16:00:00.000 GMT-0500,1.82423,1.90180,1.82043,1.86925,3376713.9647999993
31.05.2006 16:00:00.000 GMT-0500,1.86920,1.88752,1.80759,1.84780,3253889.0480000004
30.06.2006 16:00:00.000 GMT-0500,1.84789,1.86874,1.81753,1.86720,3085898.7989999987
31.07.2006 16:00:00.000 GMT-0500,1.86715,1.91395,1.86252,1.90430,3385767.8840999994
31.08.2006 16:00:00.000 GMT-0500,1.90442,1.90789,1.86023,1.87203,3106086.053000005
30.09.2006 16:00:00.000 GMT-0500,1.87285,1.90968,1.85163,1.90732,3249371.447800001
31.10.2006 17:00:00.000 GMT-0500,1.90722,1.96980,1.88352,1.96575,3230931.9998000017
30.11.2006 17:00:00.000 GMT-0500,1.96560,1.98449,1.94337,1.95848,3154328.310299999
31.12.2006 17:00:00.000 GMT-0500,1.95860,1.99145,1.92608,1.96525,3428017.4889000035
31.01.2007 17:00:00.000 GMT-0500,1.96501,1.97440,1.94014,1.96368,2962998.867400001
28.02.2007 17:00:00.000 GMT-0500,1.96353,1.97244,1.91822,1.96780,3269498.520500001
