Local time,Open,High,Low,Close,Volume
28.12.2003 17:00:00.000 GMT-0500,1.77153,1.79487,1.77006,1.79304,735778.4719999997
04.01.2004 17:00:00.000 GMT-0500,1.79170,1.84948,1.79162,1.84750,944874.4799999995
11.01.2004 17:00:00.000 GMT-0500,1.84718,1.85772,1.79312,1.79802,944895.8022000003
18.01.2004 17:00:00.000 GMT-0500,1.79648,1.85204,1.78229,1.82579,935567.1897000001
25.01.2004 17:00:00.000 GMT-0500,1.82287,1.83819,1.80190,1.82387,996431.9968999998
01.02.2004 17:00:00.000 GMT-0500,1.82277,1.85163,1.81354,1.84724,937111.3566000002
08.02.2004 17:00:00.000 GMT-0500,1.84325,1.89860,1.84044,1.88510,942781.8728999997
15.02.2004 17:00:00.000 GMT-0500,1.88394,1.91403,1.85616,1.86128,944576.6664999995
22.02.2004 17:00:00.000 GMT-0500,1.86037,1.89437,1.84570,1.86825,956805.0387
29.02.2004 17:00:00.000 GMT-0500,1.86742,1.87469,1.81564,1.84589,952466.7845000001
07.03.2004 17:00:00.000 GMT-0500,1.84808,1.85865,1.79060,1.80336,944922.1604999995
14.03.2004 17:00:00.000 GMT-0500,1.79600,1.84025,1.79412,1.83336,939744.2649999999
21.03.2004 17:00:00.000 GMT-0500,1.83300,1.85388,1.79904,1.81586,953938.8778999998
28.03.2004 17:00:00.000 GMT-0500,1.81284,1.86005,1.80652,1.82877,955346.3344
04.04.2004 16:00:00.000 GMT-0500,1.82950,1.84662,1.81071,1.83357,935448.7284
11.04.2004 16:00:00.000 GMT-0500,1.83396,1.84240,1.77620,1.79785,966431.4869000001
18.04.2004 16:00:00.000 GMT-0500,1.79822,1.81437,1.76263,1.77117,947501.1339000001
25.04.2004 16:00:00.000 GMT-0500,1.77254,1.79700,1.75814,1.77867,979867.7470000002
02.05.2004 16:00:00.000 GMT-0500,1.77912,1.80310,1.76891,1.78649,970278.1352999997
09.05.2004 16:00:00.000 GMT-0500,1.78578,1.78693,1.74834,1.76110,959676.1244000002
16.05.2004 16:00:00.000 GMT-0500,1.76130,1.79559,1.75711,1.78735,956566.2355
23.05.2004 16:00:00.000 GMT-0500,1.78800,1.84213,1.78218,1.83286,976269.1298999999
30.05.2004 16:00:00.000 GMT-0500,1.83296,1.84868,1.82762,1.84062,901370.6692999997
06.06.2004 16:00:00.000 GMT-0500,1.84108,1.84810,1.81629,1.81947,995836.6243
13.06.2004 16:00:00.000 GMT-0500,1.81869,1.84009,1.80439,1.83830,963411.9321000001
20.06.2004 16:00:00.000 GMT-0500,1.83868,1.84107,1.81052,1.82707,970978.2991000003
27.06.2004 16:00:00.000 GMT-0500,1.82661,1.83577,1.80122,1.83068,970768.2974999999
04.07.2004 16:00:00.000 GMT-0500,1.83157,1.86191,1.82685,1.85963,964939.0384000001
11.07.2004 16:00:00.000 GMT-0500,1.86035,1.87508,1.84782,1.87345,963032.5135000002
18.07.2004 16:00:00.000 GMT-0500,1.87290,1.87725,1.82992,1.83176,961272.7099999998
25.07.2004 16:00:00.000 GMT-0500,1.83215,1.84469,1.80855,1.81955,946412.9516999995
01.08.2004 16:00:00.000 GMT-0500,1.81963,1.84664,1.81512,1.84142,951166.5950999998
08.08.2004 16:00:00.000 GMT-0500,1.84321,1.84577,1.81349,1.84352,936216.1589
15.08.2004 16:00:00.000 GMT-0500,1.84333,1.84638,1.81592,1.81987,959557.4170999996
22.08.2004 16:00:00.000 GMT-0500,1.81891,1.82092,1.78826,1.79048,943663.1487000001
29.08.2004 16:00:00.000 GMT-0500,1.79054,1.80670,1.77379,1.77663,934827.7778999996
05.09.2004 16:00:00.000 GMT-0500,1.77673,1.80237,1.77085,1.79653,932932.2711000004
12.09.2004 16:00:00.000 GMT-0500,1.79845,1.80352,1.77409,1.79325,927039.2635999997
19.09.2004 16:00:00.000 GMT-0500,1.79270,1.80832,1.78164,1.80568,921321.2472999999
26.09.2004 16:00:00.000 GMT-0500,1.80614,1.81602,1.79290,1.79865,928370.3914999999
03.10.2004 16:00:00.000 GMT-0500,1.79933,1.79933,1.77459,1.79468,927964.3348999999
10.10.2004 16:00:00.000 GMT-0500,1.79525,1.80629,1.78423,1.80418,924182.8879
17.10.2004 16:00:00.000 GMT-0500,1.80457,1.83196,1.79239,1.82810,923650.3282
24.10.2004 16:00:00.000 GMT-0500,1.82856,1.84500,1.81988,1.83618,909865.9247000001
31.10.2004 17:00:00.000 GMT-0500,1.83860,1.85614,1.82969,1.85432,904995.6432000003
07.11.2004 17:00:00.000 GMT-0500,1.85477,1.86158,1.83788,1.85612,893304.6158
14.11.2004 17:00:00.000 GMT-0500,1.85562,1.86352,1.84396,1.85682,894076.6195
21.11.2004 17:00:00.000 GMT-0500,1.85811,1.90333,1.85219,1.89395,887096.4174999996
28.11.2004 17:00:00.000 GMT-0500,1.89312,1.94436,1.88507,1.94372,885746.8062999998
05.12.2004 17:00:00.000 GMT-0500,1.94220,1.95066,1.90151,1.91489,878814.0711999999
12.12.2004 17:00:00.000 GMT-0500,1.90822,1.95474,1.90796,1.94164,886808.6872000004
19.12.2004 17:00:00.000 GMT-0500,1.94480,1.95056,1.91005,1.92368,881447.8425
26.12.2004 17:00:00.000 GMT-0500,1.92302,1.94166,1.91199,1.91824,816495.4223
02.01.2005 17:00:00.000 GMT-0500,1.91944,1.92003,1.86452,1.87079,883601.3612000003
09.01.2005 17:00:00.000 GMT-0500,1.87071,1.89364,1.86387,1.87038,877017.05
16.01.2005 17:00:00.000 GMT-0500,1.86982,1.88251,1.85278,1.87688,810222.6653000001
23.01.2005 17:00:00.000 GMT-0500,1.87852,1.89273,1.86254,1.88794,881308.1779
30.01.2005 17:00:00.000 GMT-0500,1.88717,1.89153,1.87280,1.87575,866978.1199999999
06.02.2005 17:00:00.000 GMT-0500,1.87335,1.87513,1.84980,1.86834,870869.8803000003
