Local time,Open,High,Low,Close,Volume
31.12.2003 21:00:00.000 GMT-0500,1.78397,1.78563,1.78397,1.78550,1448.2
01.01.2004 01:00:00.000 GMT-0500,1.78550,1.78813,1.78542,1.78555,2293
01.01.2004 05:00:00.000 GMT-0500,1.78545,1.78573,1.78542,1.78550,2700.7
01.01.2004 09:00:00.000 GMT-0500,1.78545,1.78585,1.78530,1.78530,9471.6401
01.01.2004 13:00:00.000 GMT-0500,1.78603,1.78603,1.78111,1.78271,11611.6303
01.01.2004 17:00:00.000 GMT-0500,1.78312,1.78789,1.78128,1.78194,13999.4283
01.01.2004 21:00:00.000 GMT-0500,1.78205,1.78225,1.77854,1.78046,16483.905700000003
02.01.2004 01:00:00.000 GMT-0500,1.78065,1.78975,1.77982,1.78895,19059.8168
02.01.2004 05:00:00.000 GMT-0500,1.78900,1.78955,1.78184,1.78710,19817.2402
02.01.2004 09:00:00.000 GMT-0500,1.78742,1.79487,1.78553,1.79295,68340.5591
02.01.2004 13:00:00.000 GMT-0500,1.79264,1.79396,1.79108,1.79304,39488.2989
02.01.2004 17:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
02.01.2004 21:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
03.01.2004 01:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
03.01.2004 05:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
03.01.2004 09:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
03.01.2004 13:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
03.01.2004 17:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
03.01.2004 21:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
04.01.2004 01:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
04.01.2004 05:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
04.01.2004 09:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
04.01.2004 13:00:00.000 GMT-0500,1.79304,1.79304,1.79304,1.79304,0
04.01.2004 17:00:00.000 GMT-0500,1.79170,1.79625,1.79162,1.79621,16490.5801
04.01.2004 21:00:00.000 GMT-0500,1.79599,1.79631,1.79394,1.79579,18246.0756
05.01.2004 01:00:00.000 GMT-0500,1.79579,1.79914,1.79498,1.79633,19930.5161
05.01.2004 05:00:00.000 GMT-0500,1.79648,1.80208,1.79616,1.80001,19523.0946
05.01.2004 09:00:00.000 GMT-0500,1.79996,1.81036,1.79956,1.80847,68399.0737
05.01.2004 13:00:00.000 GMT-0500,1.80832,1.80869,1.80472,1.80646,40068.6694
05.01.2004 17:00:00.000 GMT-0500,1.80643,1.80796,1.80459,1.80527,20379.6748
05.01.2004 21:00:00.000 GMT-0500,1.80548,1.81034,1.80524,1.81034,18758.5056
06.01.2004 01:00:00.000 GMT-0500,1.81070,1.81968,1.80904,1.81775,19701.3163
06.01.2004 05:00:00.000 GMT-0500,1.81780,1.82739,1.81763,1.82732,19398.3959
06.01.2004 09:00:00.000 GMT-0500,1.82719,1.82766,1.81994,1.82346,68428.375
06.01.2004 13:00:00.000 GMT-0500,1.82324,1.82578,1.82101,1.82135,41078.6245
06.01.2004 17:00:00.000 GMT-0500,1.82140,1.82178,1.81796,1.81799,21484.7368
06.01.2004 21:00:00.000 GMT-0500,1.81807,1.82072,1.81749,1.81965,19762.485800000002
07.01.2004 01:00:00.000 GMT-0500,1.81970,1.82595,1.81369,1.81630,19789.0786
07.01.2004 05:00:00.000 GMT-0500,1.81638,1.81945,1.81204,1.81940,19761.8101
07.01.2004 09:00:00.000 GMT-0500,1.81937,1.82195,1.81731,1.81759,67970.9545
07.01.2004 13:00:00.000 GMT-0500,1.81767,1.82047,1.81686,1.81757,40732.1665
07.01.2004 17:00:00.000 GMT-0500,1.81788,1.81980,1.81341,1.81400,25232.58
07.01.2004 21:00:00.000 GMT-0500,1.81388,1.81602,1.81266,1.81563,26190.9775
08.01.2004 01:00:00.000 GMT-0500,1.81567,1.81815,1.81121,1.81130,19907.997000000003
08.01.2004 05:00:00.000 GMT-0500,1.81100,1.83170,1.81052,1.83142,19662.0043
08.01.2004 09:00:00.000 GMT-0500,1.83125,1.83610,1.82798,1.83383,68743.5278
08.01.2004 13:00:00.000 GMT-0500,1.83400,1.83438,1.83102,1.83361,41024.6763
08.01.2004 17:00:00.000 GMT-0500,1.83345,1.83518,1.83141,1.83184,19009.8183
08.01.2004 21:00:00.000 GMT-0500,1.83226,1.83408,1.82772,1.83075,17447.1762
09.01.2004 01:00:00.000 GMT-0500,1.83076,1.83469,1.82849,1.83324,20310.6728
09.01.2004 05:00:00.000 GMT-0500,1.83340,1.84363,1.83259,1.84059,18958.0097
09.01.2004 09:00:00.000 GMT-0500,1.84062,1.84843,1.83898,1.84608,67859.0249
