Local time,Open,High,Low,Close,Volume
31.12.2003 21:00:00.000 GMT-0500,1.78382,1.78546,1.78382,1.78530,1527.5
01.01.2004 01:00:00.000 GMT-0500,1.78530,1.78790,1.78520,1.78525,2112.65
01.01.2004 05:00:00.000 GMT-0500,1.78535,1.78552,1.78520,1.78530,2095.047
01.01.2004 09:00:00.000 GMT-0500,1.78535,1.78568,1.78516,1.78516,8934.779900000001
01.01.2004 13:00:00.000 GMT-0500,1.78583,1.78583,1.78096,1.78261,9751.400300000001
01.01.2004 17:00:00.000 GMT-0500,1.78282,1.78769,1.78102,1.78190,11631.650000000001
01.01.2004 21:00:00.000 GMT-0500,1.78185,1.78199,1.77832,1.78036,14444.0501
02.01.2004 01:00:00.000 GMT-0500,1.78045,1.78965,1.77968,1.78885,16164.509700000002
02.01.2004 05:00:00.000 GMT-0500,1.78890,1.78941,1.78166,1.78690,16697.336900000002
02.01.2004 09:00:00.000 GMT-0500,1.78732,1.79467,1.78531,1.79281,60381.659100000004
02.01.2004 13:00:00.000 GMT-0500,1.79244,1.79382,1.79088,1.79294,34181.2166
02.01.2004 17:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
02.01.2004 21:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
03.01.2004 01:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
03.01.2004 05:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
03.01.2004 09:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
03.01.2004 13:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
03.01.2004 17:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
03.01.2004 21:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
04.01.2004 01:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
04.01.2004 05:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
04.01.2004 09:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
04.01.2004 13:00:00.000 GMT-0500,1.79294,1.79294,1.79294,1.79294,0
04.01.2004 17:00:00.000 GMT-0500,1.79155,1.79610,1.79143,1.79601,14075.3999
04.01.2004 21:00:00.000 GMT-0500,1.79589,1.79615,1.79368,1.79569,14894.670300000002
05.01.2004 01:00:00.000 GMT-0500,1.79559,1.79895,1.79481,1.79623,17007.9966
05.01.2004 05:00:00.000 GMT-0500,1.79638,1.80198,1.79605,1.79981,16892.1572
