Local time,Open,High,Low,Close,Volume
31.12.2003 17:00:00.000 GMT-0500,415.430,415.805,414.695,415.153,624904.0066999999
01.01.2004 17:00:00.000 GMT-0500,415.297,416.505,414.353,415.805,4411669.977000001
02.01.2004 17:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
03.01.2004 17:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
04.01.2004 17:00:00.000 GMT-0500,414.682,424.411,414.563,423.339,10886878.844599998
05.01.2004 17:00:00.000 GMT-0500,423.602,430.582,420.397,422.302,12182200.1524
06.01.2004 17:00:00.000 GMT-0500,421.825,424.531,419.414,420.084,11647610.9846
07.01.2004 17:00:00.000 GMT-0500,420.502,425.205,416.749,423.702,11081241.048800005
08.01.2004 17:00:00.000 GMT-0500,423.568,427.303,419.927,425.808,11627072.946999999
09.01.2004 17:00:00.000 GMT-0500,425.808,425.808,425.808,425.808,0
10.01.2004 17:00:00.000 GMT-0500,425.808,425.808,425.808,425.808,0
11.01.2004 17:00:00.000 GMT-0500,426.902,428.863,422.683,424.409,11014719.993000003
12.01.2004 17:00:00.000 GMT-0500,424.433,426.805,422.164,423.956,12289826.9202
13.01.2004 17:00:00.000 GMT-0500,424.102,424.803,417.240,419.517,10602271.0245
14.01.2004 17:00:00.000 GMT-0500,419.497,421.502,407.382,408.288,10670564.0068
15.01.2004 17:00:00.000 GMT-0500,408.702,410.877,404.903,406.702,11288517.879300002
16.01.2004 17:00:00.000 GMT-0500,406.702,406.702,406.702,406.702,0
17.01.2004 17:00:00.000 GMT-0500,406.702,406.702,406.702,406.702,0
18.01.2004 17:00:00.000 GMT-0500,406.246,409.167,406.012,407.202,5698651.0399
19.01.2004 17:00:00.000 GMT-0500,407.011,413.103,404.892,412.476,11809980.910200002
20.01.2004 17:00:00.000 GMT-0500,412.579,413.332,407.184,410.402,10392759.9712
21.01.2004 17:00:00.000 GMT-0500,410.069,413.102,407.631,409.302,8802605.0478
22.01.2004 17:00:00.000 GMT-0500,409.302,412.703,405.925,407.802,11405549.9917
23.01.2004 17:00:00.000 GMT-0500,407.802,407.802,407.802,407.802,0
24.01.2004 17:00:00.000 GMT-0500,407.802,407.802,407.802,407.802,0
25.01.2004 17:00:00.000 GMT-0500,407.802,409.111,403.348,403.831,10499370.003399998
26.01.2004 17:00:00.000 GMT-0500,403.938,412.166,402.540,410.008,11880402.8326
27.01.2004 17:00:00.000 GMT-0500,410.031,414.872,407.518,409.888,10427862.0404
28.01.2004 17:00:00.000 GMT-0500,410.229,411.203,396.192,399.165,9081662.043599999
29.01.2004 17:00:00.000 GMT-0500,398.895,402.586,398.110,402.037,11741422.079700002
30.01.2004 17:00:00.000 GMT-0500,402.037,402.037,402.037,402.037,0
31.01.2004 17:00:00.000 GMT-0500,402.037,402.037,402.037,402.037,0
01.02.2004 17:00:00.000 GMT-0500,402.094,403.551,393.982,397.922,8781558.9234
02.02.2004 17:00:00.000 GMT-0500,398.298,403.512,397.849,399.602,10705338.932500001
03.02.2004 17:00:00.000 GMT-0500,399.228,400.987,398.164,400.702,9317163.966799997
04.02.2004 17:00:00.000 GMT-0500,400.702,400.916,396.462,396.903,8463741.984100001
05.02.2004 17:00:00.000 GMT-0500,396.530,406.284,394.244,402.910,11748460.0442
06.02.2004 17:00:00.000 GMT-0500,402.910,402.910,402.910,402.910,0
07.02.2004 17:00:00.000 GMT-0500,402.910,402.910,402.910,402.910,0
08.02.2004 17:00:00.000 GMT-0500,403.077,407.476,401.749,406.353,11295394.157799998
09.02.2004 17:00:00.000 GMT-0500,406.502,410.105,405.496,405.824,12197417.028299998
10.02.2004 17:00:00.000 GMT-0500,406.197,412.010,404.500,411.142,12087242.055699999
11.02.2004 17:00:00.000 GMT-0500,410.970,413.877,409.406,411.813,10892620.884200001
12.02.2004 17:00:00.000 GMT-0500,411.552,416.914,406.353,409.688,10153839.8788
13.02.2004 17:00:00.000 GMT-0500,409.688,409.688,409.688,409.688,0
14.02.2004 17:00:00.000 GMT-0500,409.688,409.688,409.688,409.688,0
15.02.2004 17:00:00.000 GMT-0500,409.875,411.774,409.095,411.442,5499715.000299999
16.02.2004 17:00:00.000 GMT-0500,411.602,415.893,410.485,415.210,11878047.9899
17.02.2004 17:00:00.000 GMT-0500,415.495,416.647,409.219,410.481,10425466.941599999
18.02.2004 17:00:00.000 GMT-0500,410.675,412.598,407.409,409.615,10523560.072999999
19.02.2004 17:00:00.000 GMT-0500,409.698,411.520,393.865,397.321,11386545.928399999
20.02.2004 17:00:00.000 GMT-0500,397.321,397.321,397.321,397.321,0
21.02.2004 17:00:00.000 GMT-0500,397.321,397.321,397.321,397.321,0
22.02.2004 17:00:00.000 GMT-0500,398.100,400.217,395.890,398.225,12220348.035799999
23.02.2004 17:00:00.000 GMT-0500,398.605,404.531,397.421,403.431,12529750.0564
24.02.2004 17:00:00.000 GMT-0500,403.803,404.305,393.648,395.648,10928523.1384
25.02.2004 17:00:00.000 GMT-0500,395.760,397.677,390.418,395.003,11567929.893599996
26.02.2004 17:00:00.000 GMT-0500,394.850,397.977,391.447,395.899,12835507.104299998
27.02.2004 17:00:00.000 GMT-0500,395.899,395.899,395.899,395.899,0
28.02.2004 17:00:00.000 GMT-0500,395.899,395.899,395.899,395.899,0
29.02.2004 17:00:00.000 GMT-0500,396.202,402.800,395.731,399.424,11708103.1671
01.03.2004 17:00:00.000 GMT-0500,399.525,401.477,390.510,392.848,12146018.960600002
02.03.2004 17:00:00.000 GMT-0500,392.806,393.705,387.498,393.153,12730802.9755
03.03.2004 17:00:00.000 GMT-0500,393.096,395.524,391.067,392.627,11093463.9664
04.03.2004 17:00:00.000 GMT-0500,392.631,401.377,392.031,400.800,12010464.0294
05.03.2004 17:00:00.000 GMT-0500,400.800,400.800,400.800,400.800,0
06.03.2004 17:00:00.000 GMT-0500,400.800,400.800,400.800,400.800,0
07.03.2004 17:00:00.000 GMT-0500,400.805,401.477,398.020,400.995,11470338.015
08.03.2004 17:00:00.000 GMT-0500,401.028,406.109,399.748,402.488,12950295.005200004
09.03.2004 17:00:00.000 GMT-0500,402.929,404.543,397.249,399.810,12216428.998800002
10.03.2004 17:00:00.000 GMT-0500,399.507,403.004,396.740,402.504,11510840.0586
11.03.2004 17:00:00.000 GMT-0500,402.803,402.961,394.534,394.807,12518192.086300004
12.03.2004 17:00:00.000 GMT-0500,394.807,394.807,394.807,394.807,0
13.03.2004 17:00:00.000 GMT-0500,394.807,394.807,394.807,394.807,0
14.03.2004 17:00:00.000 GMT-0500,394.824,400.335,394.680,399.199,12169609.008200001
15.03.2004 17:00:00.000 GMT-0500,399.301,404.076,398.398,402.053,12849705.0459
16.03.2004 17:00:00.000 GMT-0500,401.772,407.523,401.269,407.302,12483845.980999999
17.03.2004 17:00:00.000 GMT-0500,406.893,413.944,405.479,411.064,10951520.951699998
