Local time,Open,High,Low,Close,Volume
31.12.2003 17:00:00.000 GMT-0500,415.024,415.398,414.250,414.643,715331.9948999999
01.01.2004 17:00:00.000 GMT-0500,414.887,416.098,413.867,415.395,3906643.968
02.01.2004 17:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
03.01.2004 17:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
04.01.2004 17:00:00.000 GMT-0500,414.278,423.981,414.096,422.935,10371745.023699999
05.01.2004 17:00:00.000 GMT-0500,423.198,430.178,420.078,421.898,11123839.002300002
06.01.2004 17:00:00.000 GMT-0500,421.415,424.121,418.974,419.574,11764240.916700002
07.01.2004 17:00:00.000 GMT-0500,420.098,424.798,416.270,423.298,12678827.0063
08.01.2004 17:00:00.000 GMT-0500,423.012,426.897,419.427,425.404,9364902.8856
09.01.2004 17:00:00.000 GMT-0500,425.404,425.404,425.404,425.404,0
10.01.2004 17:00:00.000 GMT-0500,425.404,425.404,425.404,425.404,0
11.01.2004 17:00:00.000 GMT-0500,426.498,428.459,422.219,423.999,10668977.919899998
12.01.2004 17:00:00.000 GMT-0500,424.029,426.395,421.651,423.446,11178985.001600001
13.01.2004 17:00:00.000 GMT-0500,423.698,424.397,416.780,419.113,10840682.972099999
14.01.2004 17:00:00.000 GMT-0500,419.093,421.098,406.906,407.884,12171776.985900002
15.01.2004 17:00:00.000 GMT-0500,408.298,410.398,404.433,406.298,9468391.068200003
16.01.2004 17:00:00.000 GMT-0500,406.298,406.298,406.298,406.298,0
17.01.2004 17:00:00.000 GMT-0500,406.298,406.298,406.298,406.298,0
18.01.2004 17:00:00.000 GMT-0500,405.842,408.683,405.402,406.798,5698629.029099997
19.01.2004 17:00:00.000 GMT-0500,406.607,412.697,404.417,411.966,10619670.0205
20.01.2004 17:00:00.000 GMT-0500,412.175,412.910,406.721,409.998,10476853.9554
21.01.2004 17:00:00.000 GMT-0500,409.665,412.698,407.216,408.898,10203219.0114
22.01.2004 17:00:00.000 GMT-0500,408.898,412.297,405.461,407.398,8988398.976599999
23.01.2004 17:00:00.000 GMT-0500,407.398,407.398,407.398,407.398,0
24.01.2004 17:00:00.000 GMT-0500,407.398,407.398,407.398,407.398,0
25.01.2004 17:00:00.000 GMT-0500,407.398,408.621,402.928,403.321,10165719.067799998
26.01.2004 17:00:00.000 GMT-0500,403.534,411.704,401.995,409.604,10842563.029399998
27.01.2004 17:00:00.000 GMT-0500,409.627,414.468,406.939,409.378,10599936.984299999
28.01.2004 17:00:00.000 GMT-0500,409.825,410.793,395.813,398.759,10538913.9728
29.01.2004 17:00:00.000 GMT-0500,398.491,402.182,397.599,401.827,9571492.902999999
30.01.2004 17:00:00.000 GMT-0500,401.827,401.827,401.827,401.827,0
31.01.2004 17:00:00.000 GMT-0500,401.827,401.827,401.827,401.827,0
01.02.2004 17:00:00.000 GMT-0500,401.734,403.147,393.543,397.412,8308649.986000001
02.02.2004 17:00:00.000 GMT-0500,397.894,403.108,397.394,399.198,9718051.9176
03.02.2004 17:00:00.000 GMT-0500,398.824,400.581,397.714,400.298,9375197.965499999
04.02.2004 17:00:00.000 GMT-0500,400.298,400.470,396.012,396.497,9606192.011300001
05.02.2004 17:00:00.000 GMT-0500,396.170,405.878,393.738,402.550,9562594.884100001
06.02.2004 17:00:00.000 GMT-0500,402.550,402.550,402.550,402.550,0
07.02.2004 17:00:00.000 GMT-0500,402.550,402.550,402.550,402.550,0
08.02.2004 17:00:00.000 GMT-0500,402.673,407.070,401.384,405.843,10824764.952900002
09.02.2004 17:00:00.000 GMT-0500,406.096,409.693,405.009,405.314,11254092.998699998
10.02.2004 17:00:00.000 GMT-0500,405.787,411.600,403.977,410.732,12259000.152400002
11.02.2004 17:00:00.000 GMT-0500,410.566,413.397,408.978,411.409,12483777.992500002
12.02.2004 17:00:00.000 GMT-0500,411.148,416.439,405.849,409.320,8446610.025000002
13.02.2004 17:00:00.000 GMT-0500,409.320,409.320,409.320,409.320,0
14.02.2004 17:00:00.000 GMT-0500,409.320,409.320,409.320,409.320,0
15.02.2004 17:00:00.000 GMT-0500,409.471,411.292,408.670,410.932,5429413.978799999
16.02.2004 17:00:00.000 GMT-0500,411.198,415.483,409.982,414.850,10765542.9972
17.02.2004 17:00:00.000 GMT-0500,415.089,416.243,408.744,410.075,10574188.945899999
18.02.2004 17:00:00.000 GMT-0500,410.171,412.157,406.931,409.355,12116029.001999998
19.02.2004 17:00:00.000 GMT-0500,409.294,411.068,393.367,396.859,9189549.014999999
20.02.2004 17:00:00.000 GMT-0500,396.859,396.859,396.859,396.859,0
21.02.2004 17:00:00.000 GMT-0500,396.859,396.859,396.859,396.859,0
22.02.2004 17:00:00.000 GMT-0500,397.696,399.813,395.401,397.821,11816554.921
23.02.2004 17:00:00.000 GMT-0500,398.195,404.098,397.044,402.921,11356775.8648
24.02.2004 17:00:00.000 GMT-0500,403.397,403.898,393.211,395.242,10979229.8693
25.02.2004 17:00:00.000 GMT-0500,395.356,397.198,389.965,394.597,13256865.009699998
26.02.2004 17:00:00.000 GMT-0500,394.344,397.518,390.985,395.495,10531363.963699998
27.02.2004 17:00:00.000 GMT-0500,395.495,395.495,395.495,395.495,0
28.02.2004 17:00:00.000 GMT-0500,395.495,395.495,395.495,395.495,0
29.02.2004 17:00:00.000 GMT-0500,395.798,402.390,395.138,399.020,11135239.9961
01.03.2004 17:00:00.000 GMT-0500,399.119,401.030,390.136,392.338,11038868.000500001
02.03.2004 17:00:00.000 GMT-0500,392.394,393.298,386.999,392.643,12784611.969800001
03.03.2004 17:00:00.000 GMT-0500,392.692,395.118,390.617,392.073,12814447.911399998
04.03.2004 17:00:00.000 GMT-0500,392.219,400.854,391.543,400.394,9711951.0491
