Local time,Open,High,Low,Close,Volume
31.12.2003 17:00:00.000 GMT-0500,415.430,430.582,396.192,402.037,220067743.7454001
31.01.2004 17:00:00.000 GMT-0500,402.094,416.914,390.418,395.899,215438172.01749986
29.02.2004 17:00:00.000 GMT-0500,396.202,427.384,387.498,426.118,290111613.26970005
31.03.2004 17:00:00.000 GMT-0500,426.165,430.903,377.223,386.370,337160910.29409975
30.04.2004 16:00:00.000 GMT-0500,386.843,396.832,371.032,395.308,310452410.7422999
31.05.2004 16:00:00.000 GMT-0500,395.129,404.996,380.994,394.275,391978005.7726999
30.06.2004 16:00:00.000 GMT-0500,394.022,409.078,384.998,391.069,356543985.95560014
31.07.2004 16:00:00.000 GMT-0500,390.165,414.341,388.425,409.488,343929811.2505003
31.08.2004 16:00:00.000 GMT-0500,409.341,419.087,394.558,418.650,354389904.38350016
30.09.2004 16:00:00.000 GMT-0500,418.640,430.464,408.871,427.805,359783001.48999995
31.10.2004 17:00:00.000 GMT-0500,427.882,455.048,416.987,451.077,359023111.3883999
30.11.2004 17:00:00.000 GMT-0500,450.566,456.956,431.237,437.929,341103895.67500025
31.12.2004 17:00:00.000 GMT-0500,437.836,438.292,416.446,421.812,331002111.43099964
31.01.2005 17:00:00.000 GMT-0500,421.954,437.631,410.122,435.491,342099259.9049
28.02.2005 17:00:00.000 GMT-0500,435.533,447.025,422.869,427.870,387845314.5552998
31.03.2005 17:00:00.000 GMT-0500,428.204,437.680,421.783,433.136,386370565.06869954
30.04.2005 16:00:00.000 GMT-0500,434.596,435.976,413.165,416.841,419286340.19130003
31.05.2005 16:00:00.000 GMT-0500,417.097,443.805,413.887,434.593,473597813.59130025
30.06.2005 16:00:00.000 GMT-0500,435.153,436.606,417.502,429.407,463745724.6474003
31.07.2005 16:00:00.000 GMT-0500,429.276,449.963,428.395,434.788,540737436.4891999
31.08.2005 16:00:00.000 GMT-0500,434.540,475.540,434.097,468.850,544637076.2880999
30.09.2005 16:00:00.000 GMT-0500,469.952,480.513,459.426,465.452,522246194.5123006
31.10.2005 17:00:00.000 GMT-0500,465.612,502.683,454.807,492.342,533615567.95299995
30.11.2005 17:00:00.000 GMT-0500,492.476,540.838,489.259,515.894,552001511.2602001
31.12.2005 17:00:00.000 GMT-0500,516.325,572.704,515.513,568.633,509019532.0543998
31.01.2006 17:00:00.000 GMT-0500,568.688,575.096,534.302,560.959,510193468.48130006
28.02.2006 17:00:00.000 GMT-0500,561.004,589.700,533.924,583.507,588252857.5811003
31.03.2006 17:00:00.000 GMT-0500,583.092,655.868,581.612,654.113,516837815.0608002
30.04.2006 16:00:00.000 GMT-0500,654.375,730.410,635.140,644.424,607705023.8543
31.05.2006 16:00:00.000 GMT-0500,644.666,645.783,542.711,615.231,584395722.5092001
