Local time,Open,High,Low,Close,Volume
28.12.2003 17:00:00.000 GMT-0500,411.815,417.705,411.365,415.805,32167943.045700006
04.01.2004 17:00:00.000 GMT-0500,414.682,430.582,414.563,425.808,57425003.97740001
11.01.2004 17:00:00.000 GMT-0500,426.902,428.863,404.903,406.702,55865899.82380002
18.01.2004 17:00:00.000 GMT-0500,406.246,413.332,404.892,407.802,48109546.96080001
25.01.2004 17:00:00.000 GMT-0500,407.802,414.872,396.192,402.037,53630718.999700025
01.02.2004 17:00:00.000 GMT-0500,402.094,406.284,393.982,402.910,49016263.85099999
08.02.2004 17:00:00.000 GMT-0500,403.077,416.914,401.749,409.688,56626514.004799984
15.02.2004 17:00:00.000 GMT-0500,409.875,416.647,393.865,397.321,49713335.93319999
22.02.2004 17:00:00.000 GMT-0500,398.100,404.531,390.418,395.899,60082058.228500016
29.02.2004 17:00:00.000 GMT-0500,396.202,402.800,387.498,400.800,59688853.098999985
07.03.2004 17:00:00.000 GMT-0500,400.805,406.109,394.534,394.807,60666094.163900025
14.03.2004 17:00:00.000 GMT-0500,394.824,413.944,394.680,411.865,59276540.089400016
21.03.2004 17:00:00.000 GMT-0500,411.220,423.667,410.614,421.926,63396754.085899994
28.03.2004 17:00:00.000 GMT-0500,421.194,430.903,416.096,420.286,78372305.80890001
04.04.2004 16:00:00.000 GMT-0500,420.237,424.052,413.112,419.453,58888645.23610002
11.04.2004 16:00:00.000 GMT-0500,419.497,421.945,394.944,400.033,79699456.88910002
18.04.2004 16:00:00.000 GMT-0500,400.543,405.728,388.804,394.769,83468616.23590004
25.04.2004 16:00:00.000 GMT-0500,395.134,399.368,377.223,386.731,83815257.95560002
02.05.2004 16:00:00.000 GMT-0500,386.843,394.983,377.043,378.758,81251566.14600001
09.05.2004 16:00:00.000 GMT-0500,378.927,384.074,371.032,376.647,64052853.09130001
16.05.2004 16:00:00.000 GMT-0500,376.892,387.250,374.712,384.238,100225276.43660004
23.05.2004 16:00:00.000 GMT-0500,384.484,396.832,382.801,393.278,58573823.09780002
30.05.2004 16:00:00.000 GMT-0500,393.555,398.883,384.977,389.921,60788493.751700014
06.06.2004 16:00:00.000 GMT-0500,390.142,395.444,382.164,384.187,85031225.18579997
13.06.2004 16:00:00.000 GMT-0500,384.432,396.246,380.994,394.823,126494815.0255001
20.06.2004 16:00:00.000 GMT-0500,394.431,403.325,392.144,401.247,60558079.786499955
27.06.2004 16:00:00.000 GMT-0500,401.339,404.996,390.825,397.906,102897787.12029998
04.07.2004 16:00:00.000 GMT-0500,397.682,409.078,389.023,407.453,56798315.98710001
11.07.2004 16:00:00.000 GMT-0500,407.471,408.793,399.973,406.631,60625301.83450001
18.07.2004 16:00:00.000 GMT-0500,406.128,407.918,387.548,389.777,144535838.73040003
25.07.2004 16:00:00.000 GMT-0500,389.577,393.578,384.998,390.602,57141026.27710001
01.08.2004 16:00:00.000 GMT-0500,390.165,400.902,388.425,399.693,80065076.91720001
08.08.2004 16:00:00.000 GMT-0500,399.671,401.021,391.930,398.554,71163563.09480001
15.08.2004 16:00:00.000 GMT-0500,398.462,414.341,398.085,412.347,80220672.14579996
22.08.2004 16:00:00.000 GMT-0500,412.193,412.726,401.117,402.752,79895081.33399999
29.08.2004 16:00:00.000 GMT-0500,402.664,411.031,398.439,400.573,78639198.71670003
05.09.2004 16:00:00.000 GMT-0500,400.508,403.070,394.558,402.292,85069242.93229996
12.09.2004 16:00:00.000 GMT-0500,402.004,407.076,398.343,405.609,83539380.90429996
19.09.2004 16:00:00.000 GMT-0500,405.623,412.053,402.889,407.280,76256731.4767
26.09.2004 16:00:00.000 GMT-0500,407.773,419.824,406.601,418.992,79649019.22969997
03.10.2004 16:00:00.000 GMT-0500,418.570,423.902,411.128,422.469,84542501.24870002
10.10.2004 16:00:00.000 GMT-0500,422.941,423.277,408.871,418.622,85527801.04420003
17.10.2004 16:00:00.000 GMT-0500,418.846,426.169,413.948,423.755,84754042.85649997
24.10.2004 16:00:00.000 GMT-0500,424.018,430.464,420.192,427.805,88780405.22309996
31.10.2004 17:00:00.000 GMT-0500,427.882,433.945,416.987,433.854,88959769.30869995
07.11.2004 17:00:00.000 GMT-0500,433.564,438.978,430.546,437.382,79644952.69529998
14.11.2004 17:00:00.000 GMT-0500,436.272,448.333,435.137,446.903,78069751.14029999
21.11.2004 17:00:00.000 GMT-0500,446.897,455.048,445.124,452.100,78180838.9912
28.11.2004 17:00:00.000 GMT-0500,452.488,456.956,446.728,455.321,85419112.40280001
05.12.2004 17:00:00.000 GMT-0500,455.099,456.252,431.237,434.103,94041882.8725
12.12.2004 17:00:00.000 GMT-0500,434.153,442.780,433.451,441.310,81201288.73000003
19.12.2004 17:00:00.000 GMT-0500,440.839,443.927,438.084,442.306,58270190.95039999
26.12.2004 17:00:00.000 GMT-0500,442.097,445.336,433.148,437.929,56339219.9722
02.01.2005 17:00:00.000 GMT-0500,437.836,438.292,416.446,419.136,87897686.66009998
09.01.2005 17:00:00.000 GMT-0500,418.660,427.607,418.199,422.039,76319756.26910003
16.01.2005 17:00:00.000 GMT-0500,422.398,428.311,419.660,427.513,70975624.8039
23.01.2005 17:00:00.000 GMT-0500,427.221,428.128,420.676,426.206,77787420.7646
30.01.2005 17:00:00.000 GMT-0500,426.432,426.860,413.435,413.987,84765006.74269997
06.02.2005 17:00:00.000 GMT-0500,413.840,421.853,410.122,420.684,79699819.3566
13.02.2005 17:00:00.000 GMT-0500,420.400,428.484,419.994,426.238,89080392.69600001
20.02.2005 17:00:00.000 GMT-0500,425.994,436.655,425.500,434.949,87427836.1046
27.02.2005 17:00:00.000 GMT-0500,434.272,437.631,428.045,433.637,87468609.26640001
06.03.2005 17:00:00.000 GMT-0500,432.653,447.025,431.782,445.846,85908613.23100002
13.03.2005 17:00:00.000 GMT-0500,445.365,446.101,435.150,438.958,87481996.01799998
20.03.2005 17:00:00.000 GMT-0500,439.246,439.842,423.533,425.366,79166488.89729996
27.03.2005 17:00:00.000 GMT-0500,425.170,428.965,422.869,425.902,86153453.16020003
03.04.2005 16:00:00.000 GMT-0500,426.101,428.432,421.962,426.396,93340759.46369998
10.04.2005 16:00:00.000 GMT-0500,426.234,430.042,421.783,424.752,94044021.16700003
17.04.2005 16:00:00.000 GMT-0500,424.277,435.669,422.548,433.990,89670190.06300002
24.04.2005 16:00:00.000 GMT-0500,434.247,437.680,430.049,435.279,90129576.29569998
01.05.2005 16:00:00.000 GMT-0500,434.596,435.976,423.179,425.764,90065389.03760004
08.05.2005 16:00:00.000 GMT-0500,425.899,428.704,418.499,419.820,95966418.9513
15.05.2005 16:00:00.000 GMT-0500,420.265,423.325,416.086,417.274,91883636.8471
22.05.2005 16:00:00.000 GMT-0500,417.445,420.435,415.626,420.059,100178099.21450004
29.05.2005 16:00:00.000 GMT-0500,419.732,424.763,413.165,421.896,108655546.96319994
05.06.2005 16:00:00.000 GMT-0500,421.891,427.738,421.230,426.443,105321852.96659999
12.06.2005 16:00:00.000 GMT-0500,426.909,439.374,423.601,437.119,110723587.00659999
19.06.2005 16:00:00.000 GMT-0500,437.407,443.805,433.350,439.674,107049104.77999999
26.06.2005 16:00:00.000 GMT-0500,439.345,440.567,426.362,427.064,104100081.92050003
03.07.2005 16:00:00.000 GMT-0500,427.480,429.042,420.963,422.999,105717652.73790003
10.07.2005 16:00:00.000 GMT-0500,422.689,427.841,417.502,421.496,115902345.68710001
17.07.2005 16:00:00.000 GMT-0500,421.305,427.054,418.326,424.680,108379827.23089999
24.07.2005 16:00:00.000 GMT-0500,424.817,430.802,421.286,429.407,112686335.08669998
31.07.2005 16:00:00.000 GMT-0500,429.276,439.430,428.395,436.801,109647698.22360002
07.08.2005 16:00:00.000 GMT-0500,437.353,449.963,432.451,445.810,120791732.34119996
14.08.2005 16:00:00.000 GMT-0500,445.856,446.846,435.538,435.731,121168508.73850001
21.08.2005 16:00:00.000 GMT-0500,435.913,441.006,435.258,437.546,117735773.14620006
28.08.2005 16:00:00.000 GMT-0500,438.331,447.458,428.881,443.015,116171712.1757
04.09.2005 16:00:00.000 GMT-0500,443.041,450.082,442.164,448.876,117330906.9572
11.09.2005 16:00:00.000 GMT-0500,449.056,460.464,444.364,459.834,123645606.10059997
18.09.2005 16:00:00.000 GMT-0500,459.606,475.540,457.846,463.392,131067818.2541
25.09.2005 16:00:00.000 GMT-0500,464.020,474.591,457.827,469.878,127814756.84019998
02.10.2005 16:00:00.000 GMT-0500,469.952,476.163,462.721,475.290,123824782.10369997
09.10.2005 16:00:00.000 GMT-0500,475.807,480.513,465.211,469.221,124548977.28549998
16.10.2005 16:00:00.000 GMT-0500,469.228,475.558,459.426,466.734,125107846.17050001
23.10.2005 16:00:00.000 GMT-0500,466.603,475.890,462.497,472.859,123893855.15490003
30.10.2005 17:00:00.000 GMT-0500,473.202,473.397,454.807,456.666,122314316.60049994
06.11.2005 17:00:00.000 GMT-0500,456.533,470.182,455.811,468.743,120597644.15020002
13.11.2005 17:00:00.000 GMT-0500,469.167,488.965,465.813,485.288,121490779.08759998
20.11.2005 17:00:00.000 GMT-0500,485.477,497.125,483.959,495.011,115843748.97170003
27.11.2005 17:00:00.000 GMT-0500,495.099,506.832,489.946,504.580,130447797.68640004
04.12.2005 17:00:00.000 GMT-0500,504.684,530.863,503.327,525.885,129638195.81319995
11.12.2005 17:00:00.000 GMT-0500,525.331,540.838,492.768,502.828,134048029.03489998
18.12.2005 17:00:00.000 GMT-0500,502.547,509.315,489.259,502.380,125431589.76670004
25.12.2005 17:00:00.000 GMT-0500,503.285,518.034,501.947,515.894,110675711.89970005
01.01.2006 17:00:00.000 GMT-0500,516.325,540.215,515.513,539.171,106786822.37880003
08.01.2006 17:00:00.000 GMT-0500,538.766,557.825,535.159,555.571,105349019.19950005
15.01.2006 17:00:00.000 GMT-0500,555.493,567.957,539.484,552.437,118851103.96170004
22.01.2006 17:00:00.000 GMT-0500,552.465,566.614,548.789,558.256,126890741.5863
29.01.2006 17:00:00.000 GMT-0500,559.102,575.096,557.534,567.150,128992066.38310002
05.02.2006 17:00:00.000 GMT-0500,567.227,573.985,544.567,550.751,130773693.91929998
12.02.2006 17:00:00.000 GMT-0500,550.385,554.412,534.302,552.015,129748843.9085
