Local time,Open,High,Low,Close,Volume
28.12.2003 17:00:00.000 GMT-0500,411.411,417.298,410.840,415.395,30275927.8501
04.01.2004 17:00:00.000 GMT-0500,414.278,430.178,414.096,425.404,55303554.83459999
11.01.2004 17:00:00.000 GMT-0500,426.498,428.459,404.433,406.298,54328813.94770001
18.01.2004 17:00:00.000 GMT-0500,405.842,412.910,404.417,407.398,45986770.992999986
25.01.2004 17:00:00.000 GMT-0500,407.398,414.468,395.813,401.827,51718625.9573
01.02.2004 17:00:00.000 GMT-0500,401.734,405.878,393.543,402.550,46570686.764499985
08.02.2004 17:00:00.000 GMT-0500,402.673,416.439,401.384,409.320,55268246.12149999
15.02.2004 17:00:00.000 GMT-0500,409.471,416.243,393.367,396.859,48074723.938899994
22.02.2004 17:00:00.000 GMT-0500,397.696,404.098,389.965,395.495,57940789.62850003
29.02.2004 17:00:00.000 GMT-0500,395.798,402.390,386.999,400.394,57485118.926899984
07.03.2004 17:00:00.000 GMT-0500,400.401,405.703,394.001,394.597,58489709.7405
14.03.2004 17:00:00.000 GMT-0500,394.420,413.540,394.228,411.655,57288105.21339998
21.03.2004 17:00:00.000 GMT-0500,410.816,423.146,410.163,421.420,61137938.08189998
28.03.2004 17:00:00.000 GMT-0500,420.790,430.499,415.623,419.882,76097456.91139999
04.04.2004 16:00:00.000 GMT-0500,419.833,423.648,412.526,419.085,58858385.42399999
11.04.2004 16:00:00.000 GMT-0500,419.035,421.476,394.390,399.629,76879373.98270002
18.04.2004 16:00:00.000 GMT-0500,400.139,405.284,388.395,394.409,80983968.80400002
25.04.2004 16:00:00.000 GMT-0500,394.630,398.962,376.731,386.175,81605403.72889999
02.05.2004 16:00:00.000 GMT-0500,386.339,394.545,376.442,378.296,79243290.01829998
09.05.2004 16:00:00.000 GMT-0500,378.465,383.668,370.627,376.185,62123834.831899986
16.05.2004 16:00:00.000 GMT-0500,376.488,386.846,374.284,383.728,98166101.96279997
23.05.2004 16:00:00.000 GMT-0500,384.080,396.383,382.332,392.872,57032717.889299996
30.05.2004 16:00:00.000 GMT-0500,393.151,398.396,384.593,389.517,59395475.909
06.06.2004 16:00:00.000 GMT-0500,389.738,394.997,381.702,383.727,83058790.77150007
13.06.2004 16:00:00.000 GMT-0500,383.928,395.776,380.548,394.417,121955403.5346
20.06.2004 16:00:00.000 GMT-0500,394.019,402.895,391.735,400.887,58707575.902100004
27.06.2004 16:00:00.000 GMT-0500,400.877,404.590,390.413,397.444,99513955.91160001
04.07.2004 16:00:00.000 GMT-0500,397.276,408.672,388.550,406.943,55099906.16899999
11.07.2004 16:00:00.000 GMT-0500,406.967,408.343,399.463,406.169,59411881.04470003
18.07.2004 16:00:00.000 GMT-0500,405.622,407.488,387.038,389.417,139741147.2815
25.07.2004 16:00:00.000 GMT-0500,389.071,393.154,384.575,390.092,55399716.09480001
01.08.2004 16:00:00.000 GMT-0500,389.761,400.498,387.986,399.289,77865980.83749999
08.08.2004 16:00:00.000 GMT-0500,399.165,400.615,391.376,398.194,68495438.81459999
15.08.2004 16:00:00.000 GMT-0500,397.906,413.887,397.624,411.941,77907597.86579998
22.08.2004 16:00:00.000 GMT-0500,411.789,412.248,400.678,402.346,77166976.18400005
29.08.2004 16:00:00.000 GMT-0500,402.260,410.484,398.016,400.213,76806267.99350002
05.09.2004 16:00:00.000 GMT-0500,400.096,402.594,394.110,401.932,83023436.78440003
12.09.2004 16:00:00.000 GMT-0500,401.600,406.633,397.944,405.205,81459276.43400009
19.09.2004 16:00:00.000 GMT-0500,405.217,411.617,402.432,406.770,73924135.67359999
26.09.2004 16:00:00.000 GMT-0500,407.367,419.381,406.101,418.586,77708050.7691
03.10.2004 16:00:00.000 GMT-0500,418.210,423.462,410.640,421.959,82456368.33860001
10.10.2004 16:00:00.000 GMT-0500,422.435,422.813,408.391,418.112,84255942.10250002
17.10.2004 16:00:00.000 GMT-0500,418.340,425.749,413.498,423.395,82596927.70259994
24.10.2004 16:00:00.000 GMT-0500,423.606,430.007,419.688,427.449,86602733.9139
31.10.2004 17:00:00.000 GMT-0500,427.478,433.528,416.451,433.298,85944639.08260001
07.11.2004 17:00:00.000 GMT-0500,433.160,438.477,430.119,436.826,75939907.9758
14.11.2004 17:00:00.000 GMT-0500,435.868,447.929,434.610,446.493,74420894.1345
21.11.2004 17:00:00.000 GMT-0500,446.487,454.615,444.674,451.696,75275555.66620001
28.11.2004 17:00:00.000 GMT-0500,452.084,456.484,446.333,454.917,83044159.05879998
05.12.2004 17:00:00.000 GMT-0500,454.695,455.775,430.752,433.693,91409129.61969993
12.12.2004 17:00:00.000 GMT-0500,433.647,442.280,432.985,440.906,78507721.02879997
19.12.2004 17:00:00.000 GMT-0500,440.435,443.523,437.605,441.902,57089780.75869999
26.12.2004 17:00:00.000 GMT-0500,441.693,444.918,432.836,437.555,54848786.11009997
02.01.2005 17:00:00.000 GMT-0500,437.432,437.834,415.965,418.732,85238783.9259
09.01.2005 17:00:00.000 GMT-0500,418.256,427.201,417.633,421.529,73918692.77470002
16.01.2005 17:00:00.000 GMT-0500,421.842,427.893,419.173,427.007,70823894.04840003
