Local time,Open,High,Low,Close,Volume
31.12.2003 21:00:00.000 GMT-0500,415.297,415.297,414.844,415.176,89250.0002
01.01.2004 01:00:00.000 GMT-0500,415.297,415.297,414.695,415.294,96459.9997
01.01.2004 05:00:00.000 GMT-0500,415.297,415.369,414.805,415.132,124456.99980000002
01.01.2004 09:00:00.000 GMT-0500,415.297,415.369,414.729,415.144,141630.0051
01.01.2004 13:00:00.000 GMT-0500,415.100,415.297,414.836,415.153,70159.99960000001
01.01.2004 17:00:00.000 GMT-0500,415.297,416.005,414.726,415.325,429040.00169999996
01.01.2004 21:00:00.000 GMT-0500,415.105,415.726,414.701,415.602,602050.0063
02.01.2004 01:00:00.000 GMT-0500,415.410,416.505,415.043,415.816,1357139.9749
02.01.2004 05:00:00.000 GMT-0500,416.124,416.502,414.353,415.042,1411709.9941
02.01.2004 09:00:00.000 GMT-0500,415.056,415.805,414.405,415.805,518100.00090000004
02.01.2004 13:00:00.000 GMT-0500,415.584,415.805,415.294,415.805,93629.9991
02.01.2004 17:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
02.01.2004 21:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
03.01.2004 01:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
03.01.2004 05:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
03.01.2004 09:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
03.01.2004 13:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
03.01.2004 17:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
03.01.2004 21:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
04.01.2004 01:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
04.01.2004 05:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
04.01.2004 09:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
04.01.2004 13:00:00.000 GMT-0500,415.805,415.805,415.805,415.805,0
04.01.2004 17:00:00.000 GMT-0500,414.682,418.002,414.563,417.288,690731.9798999999
04.01.2004 21:00:00.000 GMT-0500,417.312,417.861,416.215,416.806,843054.9801
05.01.2004 01:00:00.000 GMT-0500,416.710,418.492,415.720,417.374,1645550.9812
05.01.2004 05:00:00.000 GMT-0500,417.315,419.741,416.625,419.055,2845700.0256
05.01.2004 09:00:00.000 GMT-0500,419.230,424.411,418.631,424.062,3975910.9022
05.01.2004 13:00:00.000 GMT-0500,424.117,424.261,422.510,423.339,885929.9756
05.01.2004 17:00:00.000 GMT-0500,423.602,424.102,422.102,423.079,763443.0118
05.01.2004 21:00:00.000 GMT-0500,423.764,424.205,421.947,422.403,971597.9992999999
06.01.2004 01:00:00.000 GMT-0500,422.189,428.205,421.847,427.620,2563846.0516999997
06.01.2004 05:00:00.000 GMT-0500,427.494,430.582,425.073,426.852,2710446.0001
06.01.2004 09:00:00.000 GMT-0500,426.855,427.105,420.397,423.456,4288552.1054
06.01.2004 13:00:00.000 GMT-0500,423.605,424.002,420.803,422.302,884314.9840999999
06.01.2004 17:00:00.000 GMT-0500,421.825,423.255,419.901,420.825,1029719.9935
06.01.2004 21:00:00.000 GMT-0500,420.278,421.803,419.799,420.733,935646.9735
07.01.2004 01:00:00.000 GMT-0500,420.771,422.422,419.707,420.705,2415930.0029
07.01.2004 05:00:00.000 GMT-0500,420.364,423.603,419.716,422.984,2669868.9759
07.01.2004 09:00:00.000 GMT-0500,423.182,424.531,419.473,420.433,3526162.0282
07.01.2004 13:00:00.000 GMT-0500,420.386,421.803,419.414,420.084,1070283.0106
07.01.2004 17:00:00.000 GMT-0500,420.502,421.327,418.692,419.231,1108992.0104
07.01.2004 21:00:00.000 GMT-0500,419.475,420.322,418.424,419.021,1180790.0071
08.01.2004 01:00:00.000 GMT-0500,419.195,420.202,417.289,418.144,2195868.9988
08.01.2004 05:00:00.000 GMT-0500,418.244,424.302,416.749,424.002,2494590.0142
08.01.2004 09:00:00.000 GMT-0500,423.955,425.205,420.324,423.439,3288850.0094
08.01.2004 13:00:00.000 GMT-0500,423.409,423.905,422.582,423.702,812150.0089
08.01.2004 17:00:00.000 GMT-0500,423.568,423.905,421.920,422.558,771749.9974999999
08.01.2004 21:00:00.000 GMT-0500,422.702,423.003,419.927,420.376,1144289.9852999998
09.01.2004 01:00:00.000 GMT-0500,420.989,423.231,420.549,422.595,2808899.9987
