Local time,Open,High,Low,Close,Volume
31.12.2003 21:00:00.000 GMT-0500,414.887,414.890,414.250,414.620,107909.9998
01.01.2004 01:00:00.000 GMT-0500,414.887,414.890,414.290,414.890,109969.9996
01.01.2004 05:00:00.000 GMT-0500,414.887,414.890,414.349,414.626,124040.0001
01.01.2004 09:00:00.000 GMT-0500,414.887,414.890,414.344,414.638,177619.9964
01.01.2004 13:00:00.000 GMT-0500,414.688,414.890,414.325,414.643,71661.9995
01.01.2004 17:00:00.000 GMT-0500,414.887,415.598,414.232,414.915,408708.984
01.01.2004 21:00:00.000 GMT-0500,414.601,415.321,414.241,415.198,626772.0014
02.01.2004 01:00:00.000 GMT-0500,414.948,416.098,414.551,415.354,1227669.9841
02.01.2004 05:00:00.000 GMT-0500,415.568,416.098,413.867,414.638,1095458.9993
02.01.2004 09:00:00.000 GMT-0500,414.652,415.398,413.939,415.395,488367.9989
02.01.2004 13:00:00.000 GMT-0500,415.206,415.398,414.736,415.395,59666.0003
02.01.2004 17:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
02.01.2004 21:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
03.01.2004 01:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
03.01.2004 05:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
03.01.2004 09:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
03.01.2004 13:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
03.01.2004 17:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
03.01.2004 21:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
04.01.2004 01:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
04.01.2004 05:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
04.01.2004 09:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
04.01.2004 13:00:00.000 GMT-0500,415.395,415.395,415.395,415.395,0
04.01.2004 17:00:00.000 GMT-0500,414.278,417.592,414.096,416.884,678095.0017
04.01.2004 21:00:00.000 GMT-0500,416.908,417.457,415.762,416.302,705529.9952
05.01.2004 01:00:00.000 GMT-0500,416.306,418.069,415.278,416.964,1943699.9709
05.01.2004 05:00:00.000 GMT-0500,416.811,419.337,416.163,418.593,2281900.0482
05.01.2004 09:00:00.000 GMT-0500,418.820,423.981,418.195,423.658,3944169.9980999995
05.01.2004 13:00:00.000 GMT-0500,423.563,423.851,422.024,422.935,818350.0096000001
