MARGIN,MIN_SIZE,CONTRACT_SIZE,PIP_VALUE,SWAP_LONG,SWAP_SHORT,COMISSION_PER_ORDEN,TICK_VALUE,archivo
4.00%,0.01,5000 XAG,5 USD,-21.50 USD,15.00 USD,,5 USD,operative_costs_commodities.csv
2.00%,0.01,100 XAU,1 USD,-41.20 USD,23.70 USD,,1 USD,operative_costs_commodities.csv
8.00%,0.1,10000 XNG,10 USD,204.00 USD,-247.00 USD,,10 USD,operative_costs_commodities.csv
8.00%,0.01,1000 XTI,10 USD,23.10 USD,-39.00 USD,,10 USD,operative_costs_commodities.csv
20.00%,1.0,1 AAXJ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 ARKG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 ARKK,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 ARKW,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 DGRO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 DIA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 DVY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 EEM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 EFA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 EFAV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 EFG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 EFV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 EMB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
