ACTIVE,NAME,MARGIN,MIN_SIZE,CONTRACT_SIZE,TICK_VALUE,SWAP_LONG,SWAP_SHORT,ELIMINATED,COMISSION_PER_ORDER,SECTOR
AAXJ,iShares MSCI All Country Asia,20.00%,1.00,1 AAXJ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
ARKG,ARK Genomic Revolution ETF,20.00%,1.00,1 ARKG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
ARKK,ARK Innovation ETF,20.00%,1.00,1 ARKK,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
ARKW,ARK Next Generation Internet E,20.00%,1.00,1 ARKW,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
DGRO,iShares Core Dividend Growth E,20.00%,1.00,1 DGRO,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
DIA,SPDR Dow Jones Industrial Aver,20.00%,1.00,1 DIA,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
DVY,iShares Select Dividend ETF,20.00%,1.00,1 DVY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EEM,iShares MSCI Emerging Markets,20.00%,1.00,1 EEM,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EFA,iShares MSCI EAFE ETF,20.00%,1.00,1 EFA,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EFAV,iShares MSCI EAFE Min Vol Fact,20.00%,1.00,1 EFAV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EFG,iShares MSCI EAFE Growth ETF,20.00%,1.00,1 EFG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EFV,iShares MSCI EAFE Value ETF,20.00%,1.00,1 EFV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EMB,iShares JP Morgan USD Emerging,20.00%,1.00,1 EMB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
ESGU,iShares ESG Aware MSCI USA ETF,20.00%,1.00,1 ESGU,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EWJ,iShares MSCI Japan ETF,20.00%,1.00,1 EWJ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EWT,iShares MSCI Taiwan ETF,20.00%,1.00,1 EWT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EWY,iShares MSCI South Korea ETF,20.00%,1.00,1 EWY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EWZ,iShares MSCI Brazil ETF,20.00%,1.00,1 EWZ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
EZU,iShares MSCI Eurozone ETF,20.00%,1.00,1 EZU,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
FDN,First Trust Dow Jones Internet,20.00%,1.00,1 FDN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
FTEC,Fidelity MSCI Information Tech,20.00%,1.00,1 FTEC,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
FVD,First Trust Value Line Dividen,20.00%,1.00,1 FVD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
GDX,VanEck Vectors Gold Miners ETF,20.00%,1.00,1 GDX,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
GDXJ,VanEck Vectors Junior Gold Min,20.00%,1.00,1 GDXJ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
GLD,SPDR Gold Shares,30.00%,1.00,1 GLD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
GSLC,Goldman Sachs ActiveBeta U.S.,20.00%,1.00,1 GSLC,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
HDV,iShares Core High Dividend ETF,20.00%,1.00,1 HDV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
IBB,iShares Nasdaq Biotechnology E,20.00%,1.00,1 IBB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
ICLN,iShares Global Clean Energy ET,20.00%,1.00,1 ICLN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
