ACTIVE,SPREAD,MARGIN,MIN_SIZE,CONTRACT_SIZE,PIP_VALUE,SWAP_LONG,SWAP_SHORT,ELIMINATED,COMISSION_PER_ORDER,SECTOR
AUDCAD,1.3 pips,1.00%,0.01,100000 AUD,10 CAD,0.40 CAD,-5.00 CAD,3 day/s,2.5 AUD,
AUDCHF,0.7 pips,1.00%,0.01,100000 AUD,10 CHF,4.70 CHF,-7.40 CHF,3 day/s,2.5 AUD,
AUDJPY,1.4 pips,1.00%,0.01,100000 AUD,1000 JPY,1170.00 JPY,-1850.00 JPY,4 day/s,2.5 AUD,
AUDNZD,1.8 pips,1.00%,0.01,100000 AUD,10 NZD,-2.90 NZD,-3.10 NZD,3 day/s,2.5 AUD,***
AUDUSD,0.6 pips,0.50%,0.01,100000 AUD,10 USD,-1.70 USD,-1.40 USD,3 day/s,2.5 AUD,
CADCHF,1.2 pips,1.00%,0.01,100000 CAD,10 CHF,3.20 CHF,-6.60 CHF,3 day/s,2.5 CAD,
CADJPY,0.9 pips,1.00%,0.01,100000 CAD,1000 JPY,910.00 JPY,-1570.00 JPY,4 day/s,2.5 CAD,
CHFJPY,2.1 pips,1.00%,0.01,100000 CHF,1000 JPY,-390.00 JPY,-770.00 JPY,4 day/s,2.5 CHF,
EURAUD,1.3 pips,1.00%,0.01,100000 EUR,10 AUD,-10.50 AUD,2.00 AUD,3 day/s,2.5 EUR,
EURCAD,1.0 pips,1.00%,0.01,100000 EUR,10 CAD,-4.10 CAD,-2.10 CAD,3 day/s,2.5 EUR,
EURCHF,0.5 pips,1.00%,0.01,100000 EUR,10 CHF,4.10 CHF,-8.90 CHF,3 day/s,2.5 EUR,
EURGBP,0.8 pips,1.00%,0.01,100000 EUR,10 GBP,-6.10 GBP,2.10 GBP,3 day/s,2.5 EUR,
EURJPY,1.0 pips,1.00%,0.01,100000 EUR,1000 JPY,1160.00 JPY,-2230.00 JPY,4 day/s,2.5 EUR,
EURMXN,94.6 pips,3.00%,0.01,100000 EUR,10 MXN,-730.30 MXN,166.20 MXN,3 day/s,2.5 EUR,
EURNOK,66.6 pips,1.00%,0.01,100000 EUR,10 NOK,-90.90 NOK,0.60 NOK,3 day/s,2.5 EUR,
EURNZD,3.1 pips,1.00%,0.01,100000 EUR,10 NZD,-11.60 NZD,-0.60 NZD,3 day/s,2.5 EUR,***
EURSEK,48.2 pips,1.00%,0.01,100000 EUR,10 SEK,-31.50 SEK,-58.60 SEK,3 day/s,2.5 EUR,
EURUSD,0.2 pips,0.50%,0.01,100000 EUR,10 USD,-7.30 USD,2.00 USD,3 day/s,2.5 EUR,
GBPAUD,1.8 pips,1.00%,0.01,100000 GBP,10 AUD,-2.50 AUD,-7.30 AUD,3 day/s,2.5 GBP,
GBPCAD,2.2 pips,1.00%,0.01,100000 GBP,10 CAD,3.90 CAD,-11.50 CAD,3 day/s,2.5 GBP,
GBPCHF,1.6 pips,1.00%,0.01,100000 GBP,10 CHF,10.40 CHF,-16.80 CHF,3 day/s,2.5 GBP,
GBPJPY,1.9 pips,1.00%,0.01,100000 GBP,1000 JPY,2710.00 JPY,-4000.00 JPY,4 day/s,2.5 GBP,
GBPMXN,150.6 pips,3.00%,0.01,100000 GBP,10 MXN,-602.80 MXN,226.00 MXN,3 day/s,2.5 GBP,
GBPNOK,190.3 pips,1.00%,0.01,100000 GBP,10 NOK,-80.00 NOK,-104.10 NOK,3 day/s,2.5 GBP,
GBPNZD,3.2 pips,1.00%,0.01,100000 GBP,10 NZD,-2.10 NZD,-7.90 NZD,3 day/s,2.5 GBP,***
GBPSEK,75.6 pips,1.00%,0.01,100000 GBP,10 SEK,32.20 SEK,-138.80 SEK,3 day/s,2.5 GBP,
GBPUSD,0.8 pips,0.50%,0.01,100000 GBP,10 USD,-2.30 USD,-4.70 USD,3 day/s,2.5 GBP,
NZDCAD,1.2 pips,1.00%,0.01,100000 NZD,10 CAD,0.10 CAD,-3.70 CAD,3 day/s,2.5 NZD,***
NZDCHF,1.2 pips,1.00%,0.01,100000 NZD,10 CHF,4.00 CHF,-6.50 CHF,3 day/s,2.5 NZD,***
NZDJPY,1.3 pips,1.00%,0.01,100000 NZD,1000 JPY,790.00 JPY,-1930.00 JPY,4 day/s,2.5 NZD,***
NZDUSD,0.9 pips,1.00%,0.01,100000 NZD,10 USD,-1.80 USD,-1.40 USD,3 day/s,2.5 NZD,***
USDCAD,0.8 pips,0.50%,0.01,100000 USD,10 CAD,0.60 CAD**,-2.70 CAD**,1 day/s,2.5 USD,
USDCHF,0.7 pips,1.00%,0.01,100000 USD,10 CHF,7.30 CHF,-13.00 CHF,3 day/s,2.5 USD,
USDJPY,0.7 pips,0.50%,0.01,100000 USD,1000 JPY,1880.00 JPY,-2990.00 JPY,4 day/s,2.5 USD,
USDMXN,89.5 pips,3.00%,0.01,100000 USD,10 MXN,-492.20 MXN,211.20 MXN,3 day/s,2.5 USD,
USDNOK,72.6 pips,1.00%,0.01,100000 USD,10 NOK,-43.70 NOK,-43.70 NOK,3 day/s,2.5 USD,
USDSEK,55.0 pips,1.00%,0.01,100000 USD,10 SEK,-37.60 SEK,-153.30 SEK,3 day/s,2.5 USD,
USDSGD,1.2 pips,5.00%,0.01,100000 USD,10 SGD,2.10 SGD,-8.70 SGD,3 day/s,2.5 USD,
