ACTIVE,SPREAD,MARGIN,MIN_SIZE,CONTRACT_SIZE,PIP_VALUE,SWAP_LONG,SWAP_SHORT,ELIMINATED,COMISSION_PER_ORDER,SECTOR
AUS200,0.8 points,4.00%,0.01,10 x AUS200,1 AUD,-13.46 AUD,6.51 AUD,1 day/s,2.75 AUD,indices
FCHI40,7.0 points,4.00%,0.01,10 x FCHI40,1 EUR,-9.33 EUR,3.12 EUR,1 day/s,2.75 EUR,indices
GDAXI,0.7 points,4.00%,0.01,10 x GDAXI,1 EUR,-26.63 EUR,8.43 EUR,1 day/s,2.75 EUR,indices
NDX,0.8 points,4.00%,0.01,10 x NDX,1 USD,-36.90 USD,17.92 USD,1 day/s,2.75 USD,indices
NI225,3.0 points,4.00%,0.10,100 x NI225,0.01 JPY,-190.73 JPY,-142.05 JPY,1 day/s,35 JPY,indices
SP500,0.3 points,4.00%,0.01,10 x SP500,1 USD,-9.82 USD,4.90 USD,1 day/s,0.275 USD,indices
SPA35,5.2 points,4.00%,0.10,10 x SPA35,1 EUR,-15.56 EUR,4.78 EUR,1 day/s,2.75 EUR,indices
STOXX50E,1.4 points,4.00%,0.01,10 x STOXX50E,1 EUR,-6.27 EUR,2.10 EUR,1 day/s,2.75 EUR,indices
UK100,7.0 points,4.00%,0.01,10 x UK100,1 GBP,-14.23 GBP,7.34 GBP,1 day/s,2.75 GBP,indices
WS30,2.0 points,4.00%,0.01,1 x WS30,1 USD,-7.08 USD,3.53 USD,1 day/s,0.35 USD,indices
