ACTIVE,NAME,PLATAFORM,MARGIN,MIN_SIZE,CONTRACT_SIZE,TICK_VALUE,SWAP_LONG,SWAP_SHORT,ELIMINATED,COMISSION_PER_ORDER,AVAILABLE_TO_SELL_SHORT,SECTOR
AAL,American Airlines Group Inc,MT4/MT5,20.00%,1.00,1 AAL,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AAPL,Apple Inc,MT4/MT5,20.00%,1.00,1 AAPL,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
ACHC,Acadia Healthcare Co Inc,MT5,20.00%,1.00,1 ACHC,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
ADBE,Adobe Systems Incorporated,MT4/MT5,20.00%,1.00,1 ADBE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
ADI,"Analog Devices, Inc.",MT4/MT5,20.00%,1.00,1 ADI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
ADP,Automatic Data Processing,MT4/MT5,20.00%,1.00,1 ADP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
ADSK,"Autodesk, Inc.",MT4/MT5,20.00%,1.00,1 ADSK,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AEP,American Electric Power Company Inc,MT4/MT5,20.00%,1.00,1 AEP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AKAM,Akamai Technologies Inc,MT5,20.00%,1.00,1 AKAM,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
ALGN,"Align Technology, Inc.",MT5,20.00%,1.00,1 ALGN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
ALNY,Alnylam Pharmaceuticals Inc,MT5,20.00%,1.00,1 ALNY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AMAT,"Applied Materials, Inc.",MT4/MT5,20.00%,1.00,1 AMAT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AMD,Advanced Micro Devices Inc,MT4/MT5,20.00%,1.00,1 AMD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AMED,Amedisys Inc,MT5,20.00%,1.00,1 AMED,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AMGN,"Amgen, Inc.",MT4/MT5,20.00%,1.00,1 AMGN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
AMKR,Amkor Technology Inc,MT5,20.00%,1.00,1 AMKR,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes,stocks
