function_name,total_time,call_count,avg_time,cpu_time,wait_time,memory_usage,file
__get__,1.0300000000000001e-05,1,1.0300000000000001e-05,8.8e-06,1.5000000000000009e-06,,functools.py
Lock,0.0011435,3,0.00038116666666666664,1.7100000000000002e-05,0.0011264,,context.py
RLock,9.22e-05,1,9.22e-05,1.5700000000000002e-05,7.65e-05,,context.py
SimpleQueue,0.0024192000000000003,3,0.0008064000000000001,1.3800000000000002e-05,0.0024054000000000002,,context.py
find_spec,3.57e-05,11,3.2454545454545457e-06,1.77e-05,1.8e-05,,__init__.py
__init__,0.001423,24,5.929166666666667e-05,0.0001359,0.0012871,,_weakrefset.py
__init__,1.01e-05,1,1.01e-05,5.1e-06,4.9999999999999996e-06,,weakref.py
_remove,3.0500000000000003e-05,16,1.9062500000000002e-06,2.0700000000000002e-05,9.800000000000001e-06,,_weakrefset.py
_commit_removals,0.000172,50,3.44e-06,0.0001206,5.14e-05,,_weakrefset.py
add,0.0008014000000000001,42,1.908095238095238e-05,0.00010530000000000001,0.0006961000000000001,,_weakrefset.py
get_spawning_popen,9.14e-05,120,7.616666666666666e-07,4.61e-05,4.5299999999999997e-05,,context.py
encode,0.0018036,156,1.1561538461538461e-05,0.00034710000000000003,0.0014565,,cp1252.py
assert_spawning,6.15e-05,48,1.28125e-06,2.4e-05,3.7500000000000003e-05,,context.py
cpu_count,7.6e-06,1,7.6e-06,3.3e-06,4.2999999999999995e-06,,context.py
_wait_for_tstate_lock,256.9022173,7,36.70031675714286,0.0001285,256.9020888,,threading.py
get_context,4.3e-06,7,6.142857142857143e-07,4.1000000000000006e-06,1.9999999999999978e-07,,context.py
get_context,9.5e-06,3,3.1666666666666667e-06,5.9e-06,3.6000000000000003e-06,,context.py
<lambda>,2.0000000000000002e-07,2,1.0000000000000001e-07,2.0000000000000002e-07,0.0,,__init__.py
import_module,0.0060948,1,0.0060948,4.2000000000000004e-06,0.0060906,,__init__.py
main,129.5713321,1,129.5713321,3.8700000000000006e-05,129.5712934,4.73828125,main.py
_exhaustive_wait,9.5960193,298,0.032201407046979866,0.0033712000000000004,9.5926481,,connection.py
__init__,0.00011750000000000001,13,9.03846153846154e-06,9.48e-05,2.270000000000001e-05,,util.py
__new__,2.0000000000000003e-06,1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,,enum.py
_slotnames,1.01e-05,2,5.05e-06,7.9e-06,2.1999999999999993e-06,,copyreg.py
__init__,0.00027,12,2.25e-05,0.000142,0.000128,,process.py
__call__,1.01e-05,1,1.01e-05,8.1e-06,1.9999999999999995e-06,,enum.py
is_dataclass,4.3e-06,1,4.3e-06,2.5e-06,1.8000000000000001e-06,,dataclasses.py
__init__,3.86e-05,50,7.720000000000001e-07,3.86e-05,0.0,,_weakrefset.py
copy,0.0014999000000000002,24,6.249583333333335e-05,7.69e-05,0.0014230000000000002,,_weakrefset.py
set_start_method,1.08e-05,1,1.08e-05,3.3e-06,7.499999999999999e-06,,context.py
__exit__,0.00028060000000000004,50,5.612000000000001e-06,8.450000000000001e-05,0.00019610000000000005,,_weakrefset.py
__iter__,0.0006642,99,6.709090909090909e-06,0.0002505,0.00041369999999999997,,_weakrefset.py
remove,1.22e-05,1,1.22e-05,3.9e-06,8.3e-06,,_weakrefset.py
set,0.0001293,5,2.586e-05,2.33e-05,0.000106,,threading.py
update,5e-06,1,5e-06,3.5000000000000004e-06,1.5e-06,,weakref.py
start,0.0051903,5,0.00103806,4.78e-05,0.0051425,,threading.py
__init__,0.0005003000000000001,48,1.0422916666666668e-05,0.00010680000000000001,0.0003935000000000001,,reduction.py
_parse_path,4.13e-05,1,4.13e-05,1.9200000000000003e-05,2.21e-05,,pathlib.py
_bootstrap_inner,0.0,0,0.0,4.2600000000000005e-05,-4.2600000000000005e-05,,threading.py
__init__,0.00025790000000000003,5,5.1580000000000004e-05,8.960000000000001e-05,0.00016830000000000003,,threading.py
wait,129.8835057,5,25.97670114,0.0054999,129.8780058,,threading.py
require,4.2000000000000004e-05,4,1.0500000000000001e-05,2.7400000000000002e-05,1.4600000000000003e-05,,_asarray.py
start,0.068222,12,0.005685166666666667,0.0001117,0.0681103,,process.py
__init__,4.1200000000000005e-05,7,5.885714285714286e-06,3.44e-05,6.800000000000003e-06,,threading.py
__enter__,9.45e-05,50,1.8900000000000001e-06,5.9900000000000006e-05,3.46e-05,,_weakrefset.py
_bootstrap,0.0,0,0.0,0.0007333000000000001,-0.0007333000000000001,,threading.py
_delete,2.5900000000000003e-05,4,6.475000000000001e-06,2.2000000000000003e-05,3.9e-06,,threading.py
update,0.0012871,24,5.3629166666666665e-05,0.00012,0.0011671,,_weakrefset.py
get_start_method,1.41e-05,12,1.175e-06,1.41e-05,0.0,,context.py
_is_owned,0.000629,320,1.965625e-06,0.00030680000000000003,0.00032219999999999997,,threading.py
sentinel,0.0027026000000000003,3552,7.608671171171172e-07,0.0019751,0.0007275000000000003,,process.py
notify,0.0024099,158,1.525253164556962e-05,0.0010826,0.0013273,,threading.py
join,257.00264300000003,7,36.71466328571429,5.5400000000000005e-05,257.0025876,,threading.py
is_alive,4.2300000000000005e-05,12,3.5250000000000006e-06,2.5600000000000002e-05,1.6700000000000003e-05,,process.py
__init__,0.0024411000000000003,195,1.251846153846154e-05,0.0017845,0.0006566000000000002,,reduction.py
_cleanup,0.00046580000000000005,12,3.881666666666667e-05,8.970000000000001e-05,0.00037610000000000003,,process.py
wait,192.4049161,17,11.31793624117647,0.0005315000000000001,192.40438460000001,,threading.py
_load_parts,4.85e-05,1,4.85e-05,6.5000000000000004e-06,4.2e-05,,pathlib.py
_set_ident,1.6100000000000002e-05,5,3.2200000000000005e-06,1.1900000000000001e-05,4.2000000000000004e-06,,threading.py
_set_native_id,6.900000000000001e-06,5,1.3800000000000001e-06,4.6e-06,2.300000000000001e-06,,threading.py
register,1.2000000000000002e-06,2,6.000000000000001e-07,1.2000000000000002e-06,0.0,,reduction.py
cast,4.9000000000000005e-06,31,1.5806451612903229e-07,4.9000000000000005e-06,0.0,,typing.py
inner,3.9e-06,1,3.9e-06,3.9e-06,0.0,,typing.py
_set_tstate_lock,0.00029560000000000003,5,5.912e-05,2.11e-05,0.0002745,,threading.py
join,0.5869172,12,0.04890976666666667,8.54e-05,0.5868318,,process.py
_format_parsed_parts,3.1000000000000004e-06,1,3.1000000000000004e-06,2.0000000000000003e-06,1.1e-06,,pathlib.py
_name_includes_bit_suffix,7.000000000000001e-07,1,7.000000000000001e-07,7.000000000000001e-07,0.0,,_dtype.py
run,0.6122705,1,0.6122705,0.0006460000000000001,0.6116245,,threading.py
exitcode,0.0177682,1788,9.937472035794184e-06,0.0027994,0.0149688,,process.py
duplicate,7.91e-05,24,3.2958333333333333e-06,2.44e-05,5.47e-05,,reduction.py
_from_parsed_parts,1.84e-05,1,1.84e-05,5e-06,1.34e-05,,pathlib.py
RLock,5.89e-05,11,5.3545454545454546e-06,5.89e-05,0.0,,threading.py
__enter__,0.0008595,331,2.596676737160121e-06,0.0003952,0.0004643,,threading.py
__exit__,0.0006239,330,1.8906060606060607e-06,0.0004753,0.00014860000000000003,,threading.py
_release_save,0.00016920000000000002,162,1.0444444444444445e-06,0.00011470000000000001,5.450000000000001e-05,,threading.py
_acquire_restore,0.0004559,161,2.8316770186335406e-06,0.0002269,0.000229,,threading.py
<genexpr>,2.39e-05,24,9.958333333333335e-07,2.39e-05,0.0,,process.py
name,0.0004528,156,2.9025641025641027e-06,0.0004528,0.0,,threading.py
daemon,1.4700000000000002e-05,13,1.1307692307692309e-06,1.4700000000000002e-05,0.0,,threading.py
_check_closed,0.0014954,5376,2.7816220238095237e-07,0.0014954,0.0,,process.py
name,1.3800000000000002e-05,12,1.1500000000000002e-06,9.9e-06,3.900000000000002e-06,,process.py
dump,0.0036544000000000004,24,0.0001522666666666667,0.0001763,0.0034781000000000005,,reduction.py
_stop,1.5300000000000003e-05,4,3.825000000000001e-06,1.1700000000000001e-05,3.600000000000001e-06,,threading.py
Pool,0.0001229,1,0.0001229,8.900000000000001e-06,0.000114,,context.py
notify_all,8.950000000000001e-05,5,1.79e-05,1.4700000000000002e-05,7.48e-05,,threading.py
__init__,7.61e-05,6,1.2683333333333334e-05,2.2400000000000002e-05,5.3700000000000004e-05,,threading.py
is_alive,1.8000000000000001e-06,2,9.000000000000001e-07,1.8000000000000001e-06,0.0,,threading.py
daemon,1.4000000000000001e-05,4,3.5000000000000004e-06,1.09e-05,3.100000000000001e-06,,threading.py
_make_invoke_excepthook,1.1900000000000001e-05,5,2.38e-06,1.1900000000000001e-05,0.0,,threading.py
_coerce_args,5.4e-06,2,2.7e-06,5e-06,3.9999999999999956e-07,,parse.py
urlparse,6.8e-05,1,6.8e-05,1.77e-05,5.03e-05,,parse.py
_Popen,0.0676209,12,0.005635075,0.0001527,0.06746819999999999,,context.py
get_start_method,1.5e-06,4,3.75e-07,1.5e-06,0.0,,context.py
set_spawning_popen,6.03e-05,24,2.5125e-06,6.03e-05,0.0,,context.py
is_set,1.2800000000000001e-05,40,3.2e-07,1.2800000000000001e-05,0.0,,threading.py
_newname,4.78e-05,5,9.56e-06,4.78e-05,0.0,,threading.py
name,8.33e-05,180,4.627777777777778e-07,8.33e-05,0.0,,process.py
current_process,0.0001056,184,5.739130434782609e-07,0.0001056,0.0,,process.py
_check_available,2.0000000000000002e-07,1,2.0000000000000002e-07,2.0000000000000002e-07,0.0,,context.py
vstack,2.5900000000000003e-05,1,2.5900000000000003e-05,1.5300000000000003e-05,1.06e-05,,shape_base.py
