         130955 function calls (129194 primitive calls) in 33.150 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  652/125   18.746    0.029    0.002    0.000 {built-in method _winapi.WaitForMultipleObjects}
    41/33   10.866    0.265   10.065    0.305 {built-in method time.sleep}
       62    0.902    0.015    0.902    0.015 {built-in method psutil_windows.per_cpu_times}
   798/19    0.653    0.001    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
     1914    0.580    0.000    0.580    0.000 {built-in method _winapi.WaitForSingleObject}
       31    0.424    0.014    0.424    0.014 {built-in method psutil_windows.cpu_times}
       32    0.395    0.012    0.395    0.012 {built-in method psutil_windows.net_io_counters}
      227    0.087    0.000    0.090    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       12    0.078    0.006    0.078    0.006 {built-in method _winapi.CreateProcess}
      156    0.015    0.000    0.015    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:383(getMessage)
        1    0.013    0.013    0.013    0.013 {built-in method MetaTrader5._core.initialize}
     1610    0.012    0.000    0.025    0.000 {built-in method builtins.sum}
      156    0.011    0.000    0.011    0.000 {built-in method time.strftime}
      403    0.010    0.000    0.024    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:1669(_cpu_times_deltas)
      227    0.010    0.000    0.010    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
  156/154    0.009    0.000   20.008    0.130 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:310(_recv_bytes)
     4235    0.009    0.000    0.009    0.000 {built-in method builtins.max}
      459    0.009    0.000    0.010    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
       31    0.008    0.000    0.535    0.017 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:302(per_cpu_times)
    21610    0.008    0.000    0.013    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:375(<genexpr>)
        1    0.008    0.008   31.794   31.794 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\modules\historical_data_downloader.py:71(process_broker)
     7237    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
  769/761    0.007    0.000    0.007    0.000 {built-in method _winapi.ReadFile}
      156    0.006    0.000    0.025    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:298(__init__)
       31    0.006    0.000    0.006    0.000 {built-in method psutil_windows.disk_io_counters}
      307    0.006    0.000    0.630    0.002 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:1032(wait)
      154    0.006    0.000   13.947    0.091 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:853(next)
  309/300    0.006    0.000    0.006    0.000 {built-in method _winapi.PeekNamedPipe}
       31    0.006    0.000    0.813    0.026 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:291(cpu_times)
      154    0.005    0.000   43.434    0.282 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:1160(__iter__)
       69    0.005    0.000    0.023    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:464(format_meter)
       62    0.005    0.000    1.394    0.022 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:1690(cpu_percent)
     4907    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      434    0.005    0.000    0.005    0.000 {built-in method builtins.round}
    21403    0.005    0.000    0.005    0.000 {built-in method unicodedata.east_asian_width}
      153    0.004    0.000    5.084    0.033 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:348(_get_more_data)
        1    0.004    0.004    0.004    0.004 {built-in method MetaTrader5._core.symbols_get}
     1938    0.004    0.000    0.585    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\popen_spawn_win32.py:103(wait)
      403    0.004    0.000    0.005    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:1653(_cpu_busy_time)
      195    0.004    0.000    0.005    0.000 {method 'dump' of '_pickle.Pickler' objects}
      307    0.003    0.000    4.562    0.015 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
      156    0.003    0.000    0.003    0.000 {built-in method _codecs.charmap_encode}
     1848    0.003    0.000    0.021    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:224(exitcode)
  943/929    0.003    0.000    0.003    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
      156    0.003    0.000    0.003    0.000 {built-in method _pickle.loads}
      156    0.003    0.000   10.806    0.069 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1529(info)
      156    0.003    0.000    0.070    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1746(callHandlers)
      153    0.003    0.000   11.758    0.077 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:500(_wait_for_updates)
      156    0.003    0.000    0.003    0.000 {built-in method time.localtime}
        2    0.003    0.001    0.003    0.001 {built-in method _imp.create_dynamic}
      156    0.003    0.000    0.011    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1611(findCaller)
      154    0.003    0.000   21.212    0.138 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:246(recv)
      177    0.003    0.000    0.003    0.000 <frozen ntpath>:179(splitroot)
      156    0.003    0.000    0.035    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:690(format)
      166    0.003    0.000    0.007    0.000 <frozen ntpath>:236(split)
       31    0.003    0.000    0.003    0.000 C:\Users\spinz\anaconda3\Lib\json\encoder.py:205(iterencode)
      156    0.003    0.000    1.980    0.013 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1660(_log)
      975    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FF97F106A20}
        9    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      468    0.002    0.000    0.007    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:200(_is_internal_frame)
      156    0.002    0.000    0.002    0.000 {built-in method _asyncio.current_task}
      165    0.002    0.000   41.491    0.251 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:202(send)
2128/2123    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
     3672    0.002    0.000    0.003    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:247(sentinel)
       63    0.002    0.000    0.004    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_common.py:639(run)
      177    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      403    0.002    0.000    0.040    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:1731(calculate)
    158/5    0.002    0.000   33.048    6.610 C:\Users\spinz\anaconda3\Lib\threading.py:323(wait)
      157    0.002    0.000    0.003    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:311(_acquire_restore)
       67    0.002    0.000    0.182    0.003 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:1198(update)
      468    0.002    0.000    0.002    0.000 {built-in method _winapi.LCMapStringEx}
        9    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.002    0.002   31.210   31.210 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:527(_handle_tasks)
      195    0.002    0.000    0.003    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\reduction.py:38(__init__)
     1926    0.002    0.000    0.012    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\popen_spawn_win32.py:121(poll)
     5556    0.002    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:99(_check_closed)
      468    0.002    0.000    0.005    0.000 <frozen ntpath>:51(normcase)
     2402    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
      153    0.002    0.000    0.025    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:289(_join_exited_workers)
      403    0.002    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:231(__call__)
       41    0.002    0.000    0.002    0.000 {built-in method nt.stat}
      138    0.002    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:273(_is_ascii)
      171    0.002    0.000   31.209    0.183 {built-in method _winapi.WriteFile}
      171    0.002    0.000   36.628    0.214 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:284(_send_bytes)
      156    0.002    0.000    0.003    0.000 <frozen genericpath>:133(_splitext)
      156    0.002    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:455(_format)
      153    0.002    0.000    0.005    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:908(_set)
      101    0.001    0.000    0.001    0.000 {built-in method now}
        9    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      137    0.001    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:400(format_interval)
      153    0.001    0.000    0.006    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:284(_get_worker_sentinels)
       69    0.001    0.000    0.118    0.002 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:1464(display)
       12    0.001    0.000    0.001    0.000 {built-in method _winapi.CreatePipe}
        8    0.001    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\cast.py:1157(maybe_infer_to_datetimelike)
      156    0.001    0.000    0.067    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1011(handle)
      156    0.001    0.000    0.048    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1148(emit)
